"","Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date","Tax_res"
"11","Luzula acutifolia","Luzula","","acutifolia",NA,NA,"","","kew-316131",TRUE,"1.1","Accepted","Juncaceae","Luzula","","acutifolia","","","H.Nordensk.","kew-316131","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"12","Trisetum spicatum","Trisetum","","spicatum",NA,NA,"","","kew-448109",TRUE,"1.1","Accepted","Poaceae","Trisetum","","spicatum","","","(L.) K.Richt.","kew-448109","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"13","Microseris lanceolata","Microseris","","lanceolata",NA,NA,"","","gcc-10616",TRUE,"1.1","Accepted","Compositae","Microseris","","lanceolata","","","(Walp.) Sch.Bip.","gcc-10616","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"14","Rytidosperma nudiflora","Rytidosperma","","nudiflora",NA,NA,"","","kew-439796",TRUE,"1.1","Accepted","Poaceae","Rytidosperma","","nudiflorum","","","(P.Morris) Connor & Edgar","kew-439796","Accepted",TRUE,FALSE,FALSE,2020-04-18,"Species"
"15","Olearia phlogopappa","Olearia","","phlogopappa",NA,NA,"","","gcc-6207",TRUE,"1.1","Accepted","Compositae","Olearia","","phlogopappa","","","(Labill.) DC.","gcc-6207","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"16","Leucochrysum albicans subsp. Albicans","Leucochrysum","","albicans",NA,"subsp.","","Albicans","gcc-85658",TRUE,"1.1","Accepted","Compositae","Leucochrysum","","albicans","","","(A.Cunn.) Paul G.Wilson","gcc-85658","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"17","Oxylobium ellipticum","Oxylobium","","ellipticum",NA,NA,"","","ild-31365",TRUE,"1.1","Accepted","Leguminosae","Oxylobium","","ellipticum","","","(Vent.) R.Br.","ild-31365","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"18","Brachyscome obovata","Brachyscome","","obovata",NA,NA,"","","gcc-134426",TRUE,"1.1","Accepted","Compositae","Brachyscome","","obovata","","","G.L.Davis","gcc-134426","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"19","Celmisia costiniana","Celmisia","","costiniana",NA,NA,"","","gcc-13059",TRUE,"1.1","Accepted","Compositae","Celmisia","","costiniana","","","M.Gray & Given","gcc-13059","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"20","Colobanthus affinis","Colobanthus","","affinis",NA,NA,"","","kew-2731283",TRUE,"1.1","Accepted","Caryophyllaceae","Colobanthus","","affinis","","","(Hook.) Hook.f.","kew-2731283","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"21","Craspedia costiniana","Craspedia","","costiniana",NA,NA,"","","gcc-128088",TRUE,"1.1","Accepted","Compositae","Craspedia","","costiniana","","","J.Everett & Joy Thomps.","gcc-128088","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"22","Craspedia jamesii","Craspedia","","jamesii",NA,NA,"","","gcc-107529",TRUE,"1.1","Accepted","Compositae","Craspedia","","jamesii","","","J.Everett & Joy Thomps.","gcc-107529","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"23","Craspedia lamicola","Craspedia","","lamicola",NA,NA,"","","gcc-9088",TRUE,"1.1","Accepted","Compositae","Craspedia","","lamicola","","","J.Everett & Joy Thomps.","gcc-9088","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"24","Craspedia leucantha","Craspedia","","leucantha",NA,NA,"","","gcc-119749",TRUE,"1.1","Accepted","Compositae","Craspedia","","leucantha","","","F.Muell.","gcc-119749","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"25","Erigeron bellidioides","Erigeron","","bellidioides",NA,NA,"","","gcc-145105",TRUE,"1.1","Accepted","Compositae","Erigeron","","bellidioides","","","(Buch.-Ham. ex D.Don) Benth. ex C.B.Clarke","gcc-145105","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"26","Erigeron paludicola","Erigeron","","paludicola",NA,NA,"","","gcc-22466",TRUE,"1.1","Accepted","Compositae","Erigeron","","paludicola","","","S.J.Forbes","gcc-22466","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"27","Erigeron setosus","Erigeron","","setosus",NA,NA,"","","gcc-44642",TRUE,"1.1","Accepted","Compositae","Erigeron","","setosus","","","(Benth.) M.Gray","gcc-44642","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"28","Leucochrysum alpinum","Leucochrysum","","alpinum",NA,NA,"","","",FALSE,"1.1","","","Leucochrysum","","alpinum",NA,"","","","",FALSE,FALSE,FALSE,2020-04-18,"Genus"
"29","Luzula acutifolia ssp. nana","Luzula","","acutifolia",NA,"ssp.","nana","","kew-316131",FALSE,"1.1","Accepted","Juncaceae","Luzula","","acutifolia","","","H.Nordensk.","kew-316131","Accepted",FALSE,FALSE,TRUE,2020-04-18,"Species"
"30","Plantago glacialis","Plantago","","glacialis",NA,NA,"","","kew-2570048",TRUE,"1.1","Unresolved","Plantaginaceae","Plantago","","glacialis","","","B.G.Briggs, Carolin & Pulley","kew-2570048","Unresolved",FALSE,FALSE,FALSE,2020-04-18,"Species"
"31","Poa costiniana","Poa","","costiniana",NA,NA,"","","kew-435658",TRUE,"1.1","Accepted","Poaceae","Poa","","costiniana","","","Vickery","kew-435658","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"32","Poa hiemata","Poa","","hiemata",NA,NA,"","","kew-436113",TRUE,"1.1","Accepted","Poaceae","Poa","","hiemata","","","Vickery","kew-436113","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"33","Ranunculus acrophilus","Ranunculus","","acrophilus",NA,NA,"","","kew-2524614",TRUE,"1.1","Unresolved","Ranunculaceae","Ranunculus","","acrophilus","","","B.G.Briggs","kew-2524614","Unresolved",FALSE,FALSE,FALSE,2020-04-18,"Species"
"34","Ranunculus clivicola","Ranunculus","","clivicola",NA,NA,"","","kew-2523495",TRUE,"1.1","Unresolved","Ranunculaceae","Ranunculus","","clivicola","","","B.G.Briggs","kew-2523495","Unresolved",FALSE,FALSE,FALSE,2020-04-18,"Species"
"35","Rytidosperma nudiflorum","Rytidosperma","","nudiflorum",NA,NA,"","","kew-439796",TRUE,"1.1","Accepted","Poaceae","Rytidosperma","","nudiflorum","","","(P.Morris) Connor & Edgar","kew-439796","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"36","Rytidosperma pumilum","Rytidosperma","","pumilum",NA,NA,"","","kew-439812",TRUE,"1.1","Accepted","Poaceae","Rytidosperma","","pumilum","","","(Kirk) Connor & Edgar","kew-439812","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"37","Aciphylla glacialis","Aciphylla","","glacialis",NA,NA,"","","kew-2618030",TRUE,"1.1","Accepted","Apiaceae","Aciphylla","","glacialis","","","(F.Muell.) Benth.","kew-2618030","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"38","Aciphylla simplicifolia","Aciphylla","","simplicifolia",NA,NA,"","","kew-2618058",TRUE,"1.1","Accepted","Apiaceae","Aciphylla","","simplicifolia","","","(F.Muell.) Benth.","kew-2618058","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"39","Astelia alpina var. novae-hollandiae","Astelia","","alpina",NA,"var.","novae-hollandiae","","kew-275799",TRUE,"1.1","Accepted","Asteliaceae","Astelia","","alpina","var.","novae-hollandiae","Skottsb.","kew-275799","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"40","Astelia psychrocharis","Astelia","","psychrocharis",NA,NA,"","","kew-275845",TRUE,"1.1","Accepted","Asteliaceae","Astelia","","psychrocharis","","","F.Muell.","kew-275845","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"41","Australopyrum velutinum","Australopyrum","","velutinum",NA,NA,"","","kew-397159",TRUE,"1.1","Synonym","Poaceae","Agropyron","","velutinum","","","Nees","kew-389005","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"42","Rytidosperma alpicola","Rytidosperma","","alpicola",NA,NA,"","","kew-439753",TRUE,"1.1","Accepted","Poaceae","Rytidosperma","","alpicola","","","(Vickery) Connor & Edgar","kew-439753","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"43","Carex blakei","Carex","","blakei",NA,NA,"","","kew-224984",TRUE,"1.1","Accepted","Cyperaceae","Carex","","blakei","","","Nelmes","kew-224984","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"44","Carex cephalotes","Carex","","cephalotes",NA,NA,"","","kew-225420",TRUE,"1.1","Accepted","Cyperaceae","Carex","","cephalotes","","","F.Muell.","kew-225420","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"45","Carex capillacea","Carex","","capillacea",NA,NA,"","","kew-225299",TRUE,"1.1","Accepted","Cyperaceae","Carex","","capillacea","","","Boott","kew-225299","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"46","Carex echinata","Carex","","echinata",NA,NA,"","","kew-226238",TRUE,"1.1","Accepted","Cyperaceae","Carex","","echinata","","","Murray","kew-226238","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"47","Carex gaudichaudiana","Carex","","gaudichaudiana",NA,NA,"","","kew-226839",TRUE,"1.1","Accepted","Cyperaceae","Carex","","gaudichaudiana","","","Kunth","kew-226839","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"48","Carex hebes","Carex","","hebes",NA,NA,"","","kew-227251",TRUE,"1.1","Accepted","Cyperaceae","Carex","","hebes","","","Nelmes","kew-227251","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"49","Carex hypandra","Carex","","hypandra",NA,NA,"","","kew-227469",TRUE,"1.1","Accepted","Cyperaceae","Carex","","hypandra","","","F.Muell.","kew-227469","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"50","Carpha nivicola","Carpha","","nivicola",NA,NA,"","","kew-232360",TRUE,"1.1","Accepted","Cyperaceae","Carpha","","nivicola","","","F.Muell.","kew-232360","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"51","Craspedia alba","Craspedia","","alba",NA,NA,"","","gcc-93106",TRUE,"1.1","Accepted","Compositae","Craspedia","","alba","","","J.Everett & Joy Thomps.","gcc-93106","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
