"TPLName","Alpine","Plant category","Life form","Lifespan","Reproduction frequency","Dormancy","Embryo","Seed.mass","Source","Macroregion","Region","Accession","Dish","Scarification","GA3","Stratification","Stratification_Y_N","Light","Alternating","Tmean","Tdif","Temperature","Sown","Germinated","Germinable","MGT","MGR","UNC","SYN"
"Campanula barbata","Strict","Herb","H","perennial","polycarp","PD",0.19,"0.1055","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","Y","None","N","Y","Y",20,10,"20C","60",59,60,NA,NA,NA,NA
"Polygala alpina","Strict","Herb","H","perennial","polycarp",NA,0.83,"36.758002857142898","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","Cold","Y","Y","Y",20,10,"20C","60",22,60,NA,NA,NA,NA
"Polygala alpina","Strict","Herb","H","perennial","polycarp",NA,0.83,"36.758002857142898","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","Cold","Y","Y","Y",10,10,"10C","60",18,60,NA,NA,NA,NA
"Phyteuma sieberi","Strict","Herb","H","perennial","polycarp","PD",0.22,"0.11835555555555601","Mondoni","Europe","Southern Alps","Italy Alp_105 NA NA","3","N","N","None","N","Y","N",15,0,"15C","20",1,18,"21","4.7619047619047603E-2","0","NA"
"Sesleria caerulea","Generalist","Grass","H","perennial","polycarp",NA,0.09,"1.3264","Mondoni","Europe","Southern Alps","Italy 130 AQ NA NA","1","N","Y","None","N","Y","N",15,0,"15C","30",24,25,"9.0416666666666696","0.110599078341014","0.870864469235364","0.56884057971014501"
"Sesleria caerulea","Generalist","Grass","H","perennial","polycarp",NA,0.09,"1.3264","Mondoni","Europe","Southern Alps","Italy 130 AQ NA NA","1","N","Y","None","N","Y","N",20,0,"20C","30",29,29,"11.8275862068966","8.4548104956268202E-2","1.54149597772325","0.41625615763546803"
"Polygala alpina","Strict","Herb","H","perennial","polycarp",NA,0.83,"36.758002857142898","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","Y","None","N","Y","Y",20,10,"20C","60",47,60,NA,NA,NA,NA
"Carex foetida","Strict","Grass","H","perennial","polycarp",NA,0.06,"0.408","Mondoni","Europe","Southern Alps","Italy Alp_091 NA NA","3","N","N","None","N","Y","N",25,0,"25C","20",1,15,"NA","NA","0","NA"
"Carex foetida","Strict","Grass","H","perennial","polycarp",NA,0.06,"0.408","Mondoni","Europe","Southern Alps","Italy Alp_091 NA NA","3","N","N","None","N","Y","N",25,0,"25C","20",0,14,"NA","NA","0","NA"
"Sesleria caerulea","Generalist","Grass","H","perennial","polycarp",NA,0.09,"1.3264","Mondoni","Europe","Southern Alps","Italy 24BL NA NA","1","N","N","None","N","Y","N",20,0,"20C","30",22,27,"NA","NA","0","NA"
"Veronica bellidioides","Strict","Herb","H","perennial","polycarp","PD",0.34,"0.11","Mondoni","Europe","Southern Alps","Italy 347SO NA NA","1","N","Y","None","N","Y","Y",20,10,"20C","30",18,30,"NA","NA","0","NA"
"Anthyllis vulneraria","Generalist","Herb","H","perennial","monocarp, polycarp","PY",0.98,"3.48434","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","Cold","Y","Y","Y",10,10,"10C","60",5,60,NA,NA,NA,NA
"Silene vulgaris","Generalist","Herb","H","perennial","polycarp",NA,0.61,"0.912","Mondoni","Europe","Southern Alps","Italy 176SO NA NA","1","N","N","None","N","Y","N",20,0,"20C","25",18,25,"NA","NA","0","NA"
"Silene suecica","Strict","Herb","H","perennial","polycarp",NA,0.61,"0.0695","Mondoni","Europe","Southern Alps","Italy 20RE NA NA","1","N","N","None","N","Y","N",20,0,"20C","25",21,25,"NA","NA","0","NA"
"Gentianella anisodonta","Strict","Herb","T, H","annual, perennial","monocarp",NA,0.21,"0.20184666666666701","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","Cold","Y","Y","Y",20,10,"20C","60",4,60,NA,NA,NA,NA
"Artemisia genipi","Strict","Herb","CH","perennial","polycarp",NA,1,"0.22","Mondoni","Europe","Southern Alps","Italy SO597 NA NA","1","N","N","Cold","Y","Y","Y",25,10,"25C","30",30,30,"NA","NA","0","NA"
"Silene rupestris","Generalist","Herb","H","perennial","polycarp","PD",0.61,"0.0696","Mondoni","Europe","Southern Alps","Italy 187SO NA NA","1","N","N","None","N","Y","N",15,0,"15C","25",19,25,"NA","NA","0","NA"
"Campanula cenisia","Strict","Herb","H","perennial","polycarp",NA,0.19,"0.12888421052631599","Mondoni","Europe","Southern Alps","Italy SO352 NA NA","1","N","Y","None","N","Y","N",20,0,"20C","30",0,0,"NA","NA","0","NA"
"Potentilla aurea","Strict","Herb","H","perennial","polycarp","PD",0.88,"0.32994062499999999","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","Cold","Y","Y","Y",20,10,"20C","60",18,60,NA,NA,NA,NA
"Saxifraga oppositifolia","Strict","Herb","CH","perennial","polycarp","MPD",0.33,"0.11","Mondoni","Europe","Southern Alps","Italy SO595 NA NA","1","N","N","None","N","Y","Y",15,10,"15C","30",0,18,"NA","NA","0","NA"
"Campanula macrorhiza","Generalist","Herb","H","perennial","polycarp",NA,0.19,"0.12888421052631599","Mondoni","Europe","Southern Alps","Italy Alp_008 NA NA","3","N","N","None","N","Y","N",15,0,"15C","20",13,19,"17.769230769230798","5.62770562770563E-2","1.23890125660263","0.43589743589743601"
"Achillea erba-rotta","Strict","Herb","H","perennial","polycarp",NA,1,"0.274","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","Y","None","N","Y","Y",20,10,"20C","60",59,60,NA,NA,NA,NA
"Rhododendron ferrugineum","Strict","Woody","CH","perennial","polycarp","PD",0.25,"0.028","Mondoni","Europe","Southern Alps","Italy SO543 NA NA","1","N","Y","None","N","Y","Y",25,10,"25C","40",22,28,"NA","NA","0","NA"
"Silene rupestris","Generalist","Herb","H","perennial","polycarp","PD",0.61,"0.0696","Mondoni","Europe","Southern Alps","Italy 49 AQ NA NA","1","N","N","None","N","Y","N",15,0,"15C","30",27,27,"10.1111111111111","9.8901098901098897E-2","1.24710474363144","0.49572649572649602"
"Cerastium uniflorum","Strict","Herb","CH","perennial","polycarp",NA,0.74,"0.2556","Mondoni","Europe","Southern Alps","Italy 20BL NA NA","1","N","Y","None","N","Y","Y",20,10,"20C","30",19,30,"NA","NA","0","NA"
"Carex curvula","Strict","Grass","H","perennial","polycarp",NA,0.06,"2","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","Cold","Y","Y","Y",10,10,"10C","60",0,60,NA,NA,NA,NA
"Poa alpina","Strict","Grass","H","perennial","polycarp","PD",0.12,"0.3592","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","Y","None","N","Y","Y",20,10,"20C","60",52,60,NA,NA,NA,NA
"Pinguicula leptoceras","Generalist","Herb","H","perennial","polycarp",NA,1,"2.35E-2","Mondoni","Europe","Southern Alps","Italy ALP_034 NA NA","3","N","Y","None","N","Y","N",20,0,"20C","25",15,19,"19.600000000000001","5.10204081632653E-2","1.39958123064606","0.371428571428571"
"Silene vallesia","Generalist","Herb","H","perennial","polycarp",NA,0.61,"0.6768","Mondoni","Europe","Southern Alps","Italy 13AO NA NA","1","N","N","None","N","Y","N",15,0,"15C","30",14,30,"NA","NA","0","NA"
"Antennaria dioica","Generalist","Herb","H","perennial","polycarp",NA,1,"0.06","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","None","N","Y","Y",10,10,"10C","60",39,60,NA,NA,NA,NA
"Antennaria dioica","Generalist","Herb","H","perennial","polycarp",NA,1,"0.06","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","None","N","Y","Y",20,10,"20C","60",49,60,NA,NA,NA,NA
"Sesleria caerulea","Generalist","Grass","H","perennial","polycarp",NA,0.09,"1.3264","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","Y","None","N","Y","Y",20,10,"20C","60",57,60,NA,NA,NA,NA
"Festuca violacea","Strict","Grass","H","perennial","polycarp",NA,0.2,"1.4784","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","Y","None","N","Y","Y",20,10,"20C","60",53,60,NA,NA,NA,NA
"Luzula spicata","Strict","Grass","H","perennial","polycarp","PD",0.1,"0.263","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","Cold","Y","Y","Y",10,10,"10C","60",19,60,NA,NA,NA,NA
"Campanula thyrsoides","Generalist","Herb","H","perennial","polycarp","PD",0.19,"0.0844","Mondoni","Europe","Southern Alps","Italy SO536 NA NA","1","N","Y","None","N","Y","N",20,0,"20C","30",19,19,"NA","NA","0","NA"
"Festuca violacea","Strict","Grass","H","perennial","polycarp",NA,0.2,"1.4784","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","None","N","Y","Y",10,10,"10C","60",8,60,NA,NA,NA,NA
"Silene vulgaris","Generalist","Herb","H","perennial","polycarp",NA,0.61,"0.912","Mondoni","Europe","Southern Alps","Italy 81 AQ NA NA","1","N","Y","None","N","Y","Y",20,10,"20C","30",25,30,"15.12","6.6137566137566106E-2","1.75662381107936","0.28333333333333299"
"Draba hoppeana","Strict","Herb","CH","perennial","polycarp",NA,1,"0.134833333333333","Mondoni","Europe","Southern Alps","Italy Alp_160 NA NA","3","N","N","None","N","Y","N",20,0,"20C","20",13,20,"10.2307692307692","9.7744360902255606E-2","1.1981839479118","0.487179487179487"
"Draba hoppeana","Strict","Herb","CH","perennial","polycarp",NA,1,"0.134833333333333","Mondoni","Europe","Southern Alps","Italy Alp_160 NA NA","3","N","N","None","N","Y","N",20,0,"20C","20",15,20,"12","8.3333333333333301E-2","1.48383170684469","0.41758241758241799"
"Soldanella alpina","Strict","Herb","H","perennial","polycarp","ND",0.3,"0.21","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","None","N","Y","Y",20,10,"20C","60",60,60,NA,NA,NA,NA
"Soldanella alpina","Strict","Herb","H","perennial","polycarp","ND",0.3,"0.21","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","Cold","Y","Y","Y",10,10,"10C","60",59,60,NA,NA,NA,NA
"Minuartia verna","Generalist","Herb","CH","perennial","polycarp",NA,0.66,"0.18","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","None","N","Y","Y",10,10,"10C","60",1,60,NA,NA,NA,NA
"Silene vulgaris","Generalist","Herb","H","perennial","polycarp",NA,0.61,"0.912","Mondoni","Europe","Southern Alps","Italy 81 AQ NA NA","1","N","N","None","N","Y","N",25,0,"25C","30",7,22,"26","3.8461538461538498E-2","1.84237099317711","0.19047619047618999"
"Bartsia alpina","Generalist","Herb","G","perennial","polycarp","PD",0.38,"0.28","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","Cold","Y","Y","Y",20,10,"20C","60",31,60,NA,NA,NA,NA
"Bartsia alpina","Generalist","Herb","G","perennial","polycarp","PD",0.38,"0.28","Mondoni","Europe","Southern Alps","Italy Alp_086 NA NA","3","N","N","None","N","Y","N",10,0,"10C","20",0,20,"NA","NA","0","NA"
"Silene vulgaris","Generalist","Herb","H","perennial","polycarp",NA,0.61,"0.912","Mondoni","Europe","Southern Alps","Italy 81 AQ NA NA","1","N","N","None","N","Y","Y",20,10,"20C","30",15,27,"14.9333333333333","6.6964285714285698E-2","1.45656476213095","0.35238095238095202"
"Cerastium arvense","Generalist","Herb","CH","perennial","polycarp","PD",0.74,"0.189","Mondoni","Europe","Southern Alps","Italy 448PV NA NA","1","N","Y","None","N","Y","Y",20,10,"20C","30",27,28,"NA","NA","0","NA"
"Polygala alpina","Strict","Herb","H","perennial","polycarp",NA,0.83,"36.758002857142898","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","Cold","Y","Y","Y",10,10,"10C","60",30,60,NA,NA,NA,NA
"Senecio doronicum","Strict","Herb","H","perennial","polycarp",NA,1,"0.28","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","Cold","Y","Y","Y",10,10,"10C","60",60,60,NA,NA,NA,NA
"Bartsia alpina","Generalist","Herb","G","perennial","polycarp","PD",0.38,"0.28","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","Y","None","N","Y","Y",20,10,"20C","60",12,60,NA,NA,NA,NA
"Festuca quadriflora","Strict","Grass","H","perennial","polycarp",NA,0.2,"1.2925727272727301","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","None","N","Y","Y",20,10,"20C","60",42,60,NA,NA,NA,NA
"Silene vulgaris","Generalist","Herb","H","perennial","polycarp",NA,0.61,"0.912","Mondoni","Europe","Southern Alps","Italy 81 AQ NA NA","1","N","N","None","N","Y","N",20,0,"20C","30",15,29,"13.0666666666667","7.6530612244898003E-2","1.74646579850407","0.28571428571428598"
"Anthyllis vulneraria","Generalist","Herb","H","perennial","monocarp, polycarp","PY",0.98,"3.48434","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","None","N","Y","Y",20,10,"20C","60",5,60,NA,NA,NA,NA
"Arabis caerulea","Strict","Herb","H","perennial","polycarp",NA,1,"0.30630000000000002","Mondoni","Europe","Southern Alps","Italy 108SO NA NA","1","N","Y","None","N","Y","Y",20,10,"20C","30",30,30,"NA","NA","0","NA"
"Silene vulgaris","Generalist","Herb","H","perennial","polycarp",NA,0.61,"0.912","Mondoni","Europe","Southern Alps","Italy 1AO NA NA","1","N","N","None","N","Y","N",20,0,"20C","50",30,50,"NA","NA","0","NA"
"Carex firma","Strict","Grass","H","perennial","polycarp","PD",0.06,"1.11","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","None","N","Y","Y",10,10,"10C","60",1,60,NA,NA,NA,NA
"Campanula cochleariifolia","Generalist","Herb","H","perennial","polycarp","PD",0.19,"0.12888421052631599","Mondoni","Europe","Southern Alps","Italy 135SO NA NA","1","N","N","None","N","Y","N",10,0,"10C","50",0,44,"NA","NA","0","NA"
"Draba stylaris","Strict","Herb","T, H","annual, perennial","monocarp, polycarp",NA,1,"0.134833333333333","Mondoni","Europe","Southern Alps","Italy Alp_166 NA NA","3","N","N","None","N","Y","N",20,0,"20C","20",16,20,"13.5625","7.3732718894009203E-2","1.50161447181018","0.40833333333333299"
"Gentiana acaulis","Strict","Herb","H","perennial","polycarp","MPD",0.07,"0.306","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","None","N","Y","Y",20,10,"20C","60",1,60,NA,NA,NA,NA
"Bartsia alpina","Generalist","Herb","G","perennial","polycarp","PD",0.38,"0.28","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","None","N","Y","Y",20,10,"20C","60",0,60,NA,NA,NA,NA
"Gentiana acaulis","Strict","Herb","H","perennial","polycarp","MPD",0.07,"0.306","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","Cold","Y","Y","Y",20,10,"20C","60",6,60,NA,NA,NA,NA
"Campanula macrorhiza","Generalist","Herb","H","perennial","polycarp",NA,0.19,"0.12888421052631599","Mondoni","Europe","Southern Alps","Italy Alp_008 NA NA","3","N","N","None","N","Y","N",15,0,"15C","20",12,20,"15.1666666666667","6.5934065934065894E-2","0.650022421648354","0.69696969696969702"
"Silene vallesia","Generalist","Herb","H","perennial","polycarp",NA,0.61,"0.6768","Mondoni","Europe","Southern Alps","Italy 203 AQ NA NA","1","N","N","None","N","Y","N",20,0,"20C","30",30,30,"7","0.14285714285714299","0","1"
"Leontopodium nivale","Strict","Herb","H","perennial","polycarp",NA,1,"0.1366","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","None","N","Y","Y",10,10,"10C","60",2,60,NA,NA,NA,NA
"Silene vallesia","Generalist","Herb","H","perennial","polycarp",NA,0.61,"0.6768","Mondoni","Europe","Southern Alps","Italy 203 AQ NA NA","1","N","Y","None","N","Y","N",20,0,"20C","30",27,30,"14.2592592592593","7.0129870129870098E-2","1.78478700985132","0.29059829059829101"
"Anthyllis vulneraria","Generalist","Herb","H","perennial","monocarp, polycarp","PY",0.98,"3.48434","Mondoni","Europe","Southern Alps","Italy 434SO NA NA","1","Y","N","None","N","Y","N",15,0,"15C","50",5,49,"NA","NA","0","NA"
"Oxyria digyna","Strict","Herb","H","perennial","polycarp",NA,0.39,"0.75","Mondoni","Europe","Southern Alps","Italy 104SO NA NA","1","N","N","None","N","Y","Y",7.5,5,"5C","30",4,30,"NA","NA","0","NA"
"Festuca alpina","Strict","Grass","H","perennial","polycarp",NA,0.2,"1.2925727272727301","Mondoni","Europe","Southern Alps","Italy 131 AQ NA NA","4","N","N","None","N","Y","N",15,0,"15C","30",28,28,"14.25","7.0175438596491196E-2","0.589626181187314","0.79629629629629595"
"Silene rupestris","Generalist","Herb","H","perennial","polycarp","PD",0.61,"0.0696","Mondoni","Europe","Southern Alps","Italy 49 AQ NA NA","1","N","N","None","N","Y","N",20,0,"20C","30",18,21,"10.5","9.5238095238095205E-2","1.25162916738782","0.47058823529411797"
"Primula glaucescens","Generalist","Herb","H","perennial","polycarp","PD",0.46,"0.28","Mondoni","Europe","Southern Alps","Italy BG434 NA NA","1","N","Y","None","N","Y","Y",20,10,"20C","50",49,49,"NA","NA","0","NA"
"Primula glaucescens","Generalist","Herb","H","perennial","polycarp","PD",0.46,"0.28","Mondoni","Europe","Southern Alps","Italy BG190 NA NA","1","N","Y","None","N","Y","Y",20,10,"20C","30",30,30,"NA","NA","0","NA"
"Armeria alpina","Strict","Herb","H","perennial","polycarp",NA,0.95,"1.9264","Mondoni","Europe","Southern Alps","Italy SO846 NA NA","1","N","N","None","N","Y","Y",20,10,"20C","30",18,27,"NA","NA","0","NA"
"Armeria alpina","Strict","Herb","H","perennial","polycarp",NA,0.95,"1.9264","Mondoni","Europe","Southern Alps","Italy SO846 NA NA","1","N","Y","None","N","Y","Y",20,10,"20C","40",32,40,"NA","NA","0","NA"
"Gentiana punctata","Strict","Herb","H","perennial","polycarp","MPD",0.07,"0.6989","Mondoni","Europe","Southern Alps","Italy BS406 NA NA","1","N","N","Cold","Y","Y","N",20,0,"20C","30",1,28,"NA","NA","0","NA"
"Gentiana verna","Generalist","Herb","H","perennial","polycarp","MPD",0.07,"0.0882666666666667","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","Cold","Y","Y","Y",20,10,"20C","60",15,60,NA,NA,NA,NA
"Antennaria dioica","Generalist","Herb","H","perennial","polycarp",NA,1,"0.06","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","Cold","Y","Y","Y",20,10,"20C","60",43,60,NA,NA,NA,NA
"Primula integrifolia","Strict","Herb","H","perennial","polycarp","PD",0.46,"0.37225172413793101","Mondoni","Europe","Southern Alps","Italy Alp_084 NA NA","3","N","N","None","N","Y","N",20,0,"20C","20",5,17,"12.25","8.1632653061224497E-2","1.5","0.16666666666666699"
"Helictotrichon versicolor","Strict","Grass","H","perennial","polycarp",NA,0.2,"1.7768","Mondoni","Europe","Southern Alps","Italy Alp_092 NA NA","3","N","N","None","N","Y","N",10,0,"10C","20",4,18,"17.5","5.7142857142857099E-2","1.5","0.16666666666666699"
"Phleum alpinum","Strict","Grass","H","perennial","polycarp",NA,0.19,"0.38","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","Cold","Y","Y","Y",10,10,"10C","60",39,60,NA,NA,NA,NA
"Silene suecica","Strict","Herb","H","perennial","polycarp",NA,0.61,"0.0695","Mondoni","Europe","Southern Alps","Italy 205 AQ NA NA","1","N","Y","None","N","Y","Y",20,10,"20C","30",30,30,"8.8666666666666707","0.112781954887218","0.921833929153911","0.616091954022989"
"Dianthus glacialis","Strict","Herb","H","perennial","polycarp",NA,0.41,"0.2891","Mondoni","Europe","Southern Alps","Italy 78 AQ NA NA","1","N","N","Cold","Y","Y","N",20,0,"20C","30",26,26,"7","0.14285714285714299","0","1"
"Gentiana clusii","Strict","Herb","H","perennial","polycarp","MPD",0.07,"0.44","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","None","N","N","N",0,0,"0C","60",0,60,NA,NA,NA,NA
"Carex firma","Strict","Grass","H","perennial","polycarp","PD",0.06,"1.11","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","None","N","N","N",0,0,"0C","60",0,60,NA,NA,NA,NA
"Phleum alpinum","Strict","Grass","H","perennial","polycarp",NA,0.19,"0.38","Mondoni","Europe","Southern Alps","Italy 433SO NA NA","1","N","N","None","N","Y","N",20,0,"20C","50",43,43,"NA","NA","0","NA"
"Carex firma","Strict","Grass","H","perennial","polycarp","PD",0.06,"1.11","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","Cold","Y","Y","Y",20,10,"20C","60",30,60,NA,NA,NA,NA
"Carex firma","Strict","Grass","H","perennial","polycarp","PD",0.06,"1.11","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","Y","None","N","Y","Y",20,10,"20C","60",47,60,NA,NA,NA,NA
"Dianthus glacialis","Strict","Herb","H","perennial","polycarp",NA,0.41,"0.2891","Mondoni","Europe","Southern Alps","Italy SO897 NA NA","1","N","N","Cold","Y","Y","N",20,0,"20C","30",26,26,"NA","NA","0","NA"
"Silene vulgaris","Generalist","Herb","H","perennial","polycarp",NA,0.61,"0.912","Mondoni","Europe","Southern Alps","Italy 81 AQ NA NA","3","N","Y","None","N","Y","N",25,0,"25C","50",38,46,"10.8684210526316","9.2009685230024202E-2","1.42526419928082","0.43243243243243201"
"Rhinanthus glacialis","Generalist","Herb","T","annual","monocarp",NA,0.21,"2.2542300000000002","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","None","N","Y","Y",10,10,"10C","60",0,60,NA,NA,NA,NA
"Solidago virgaurea","Generalist","Herb","H","perennial","polycarp","PD",1,"0.468583333333333","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","Cold","Y","Y","Y",10,10,"10C","60",60,60,NA,NA,NA,NA
"Saxifraga stellaris","Strict","Herb","CH","perennial","polycarp","MPD",0.33,"0.0352","Mondoni","Europe","Southern Alps","Italy ALP_030 NA NA","3","N","N","None","N","Y","N",20,0,"20C","25",20,23,"14.35","6.9686411149825794E-2","1.02192809488736","0.63684210526315799"
"Geum montanum","Strict","Herb","H","perennial","polycarp","PD",1,"1.044","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","None","N","Y","Y",20,10,"20C","60",7,60,NA,NA,NA,NA
"Artemisia umbelliformis","Strict","Herb","CH","perennial","polycarp",NA,1,"0.2899","Mondoni","Europe","Southern Alps","Italy 28 AQ NA NA","1","N","N","None","N","Y","N",25,0,"25C","30",25,26,"11.76","8.5034013605442202E-2","1.46190118890934","0.36"
"Gentianella anisodonta","Strict","Herb","T, H","annual, perennial","monocarp",NA,0.21,"0.20184666666666701","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","Cold","Y","Y","Y",10,10,"10C","60",1,60,NA,NA,NA,NA
"Gentianella anisodonta","Strict","Herb","T, H","annual, perennial","monocarp",NA,0.21,"0.20184666666666701","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","Y","None","N","Y","Y",20,10,"20C","60",6,60,NA,NA,NA,NA
"Dryas octopetala","Strict","Woody","CH","perennial","polycarp","PD",0.65,"0.5526","Mondoni","Europe","Southern Alps","Italy BG954 NA NA","1","N","N","None","N","Y","N",20,0,"20C","28",23,23,"NA","NA","0","NA"
"Potentilla aurea","Strict","Herb","H","perennial","polycarp","PD",0.88,"0.32994062499999999","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","None","N","N","N",0,0,"0C","60",0,60,NA,NA,NA,NA
"Anemone vernalis","Strict","Herb","H","perennial","polycarp",NA,0.04,"1.8966","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","Cold","Y","Y","Y",10,10,"10C","60",24,60,NA,NA,NA,NA
"Poa alpina","Strict","Grass","H","perennial","polycarp","PD",0.12,"0.3592","Mondoni","Europe","Southern Alps","Italy 442SO NA NA","1","N","N","None","N","Y","N",20,0,"20C","49",48,48,"NA","NA","0","NA"
"Saxifraga hostii","Generalist","Herb","CH","perennial","polycarp",NA,0.33,"0.26","Mondoni","Europe","Southern Alps","Italy BG199 NA NA","1","N","Y","None","N","Y","Y",15,10,"15C","50",7,37,"NA","NA","0","NA"
"Poa alpina","Strict","Grass","H","perennial","polycarp","PD",0.12,"0.3592","Mondoni","Europe","Southern Alps","Italy 438SO NA NA","1","N","N","None","N","Y","N",20,0,"20C","50",45,45,"NA","NA","0","NA"
"Trifolium badium","Strict","Herb","H","perennial","polycarp",NA,0.99,"0.75","Mondoni","Europe","Southern Alps","Italy 89SO NA NA","1","Y","N","None","N","Y","N",20,0,"20C","20",10,10,"NA","NA","0","NA"
"Gentiana acaulis","Strict","Herb","H","perennial","polycarp","MPD",0.07,"0.306","Mondoni","Europe","Southern Alps","Italy SO175 NA NA","1","N","N","Cold","Y","Y","N",20,0,"20C","30",1,30,"NA","NA","0","NA"
"Saxifraga oppositifolia","Strict","Herb","CH","perennial","polycarp","MPD",0.33,"0.11","Mondoni","Europe","Southern Alps","Italy SO595 NA NA","1","N","N","Cold","Y","Y","N",20,0,"20C","30",7,24,"NA","NA","0","NA"
"Saxifraga oppositifolia","Strict","Herb","CH","perennial","polycarp","MPD",0.33,"0.11","Mondoni","Europe","Southern Alps","Italy SO595 NA NA","1","N","N","None","N","Y","N",15,0,"15C","30",6,18,"NA","NA","0","NA"
"Trifolium pallescens","Strict","Herb","H","perennial","polycarp",NA,0.99,"0.62","Mondoni","Europe","Southern Alps","Italy 47SO NA NA","1","N","N","None","N","Y","N",20,0,"20C","50",2,50,"NA","NA","0","NA"
"Gnaphalium supinum","Strict","Herb","H","perennial","polycarp",NA,1,"0.0852","Mondoni","Europe","Southern Alps","Italy Alp_124 NA NA","3","N","N","None","N","Y","N",25,0,"25C","20",19,19,"7","0.14285714285714299","0","1"
"Poa alpina","Strict","Grass","H","perennial","polycarp","PD",0.12,"0.3592","Tudela","Europe","Southern Alps","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Merged","N","N","None","N","Y","Y",10,10,"10C","60",38,60,NA,NA,NA,NA
