"Taxon","Source","Year","Country","Region","Accession","Latitude","Longitude","Elevation","Dish","Scarification","GA3","Stratification","Stratification_temperature","Stratification_days","Light","Photoperiod","Alternating","Tdif","Tmax","Tmin","Tmean","Temperature","Length.experiment","Sown","Germinated","Germinable"
"Richea continentis","Venn",NA,"Australia","Australian Alps","Australia Single -37.8291667 146.291667","-37.8291667",146.291667,"1560","19","N","N","None",NA,"0","Y",12,"N",0,26,26,26,"25C",NA,20,13,17
"Richea continentis","Venn",NA,"Australia","Australian Alps","Australia Single -37.8291667 146.291667","-37.8291667",146.291667,"1560","20","N","N","None",NA,"0","Y",12,"N",0,30,30,30,"30C",NA,20,7,13
"Richea continentis","Venn",NA,"Australia","Australian Alps","Australia Single -37.8291667 146.291667","-37.8291667",146.291667,"1560","21","N","N","None",NA,"0","Y",12,"N",0,35,35,35,"35C",NA,20,0,4
"Ozothamnus alpina","Venn",NA,"Australia","Australian Alps","Australia Single -36.8767 147.2408","-36.8767",147.2408,"1840","1","N","N","None",NA,"0","Y",12,"N",0,10,10,10,"10C",NA,20,0,18
"Ozothamnus alpina","Venn",NA,"Australia","Australian Alps","Australia Single -36.8767 147.2408","-36.8767",147.2408,"1840","2","N","N","None",NA,"0","Y",12,"N",0,16,16,16,"15C",NA,20,0,19
"Ozothamnus alpina","Venn",NA,"Australia","Australian Alps","Australia Single -36.8767 147.2408","-36.8767",147.2408,"1840","3","N","N","None",NA,"0","Y",12,"N",0,19,19,19,"20C",NA,20,1,16
"Ozothamnus alpina","Venn",NA,"Australia","Australian Alps","Australia Single -36.8767 147.2408","-36.8767",147.2408,"1840","4","N","N","None",NA,"0","Y",12,"N",0,25,25,25,"25C",NA,20,1,19
"Ozothamnus alpina","Venn",NA,"Australia","Australian Alps","Australia Single -36.8767 147.2408","-36.8767",147.2408,"1840","5","N","N","None",NA,"0","Y",12,"N",0,27,27,27,"25C",NA,20,5,11
"Ozothamnus alpina","Venn",NA,"Australia","Australian Alps","Australia Single -36.8767 147.2408","-36.8767",147.2408,"1840","6","N","N","None",NA,"0","Y",12,"N",0,34,34,34,"35C",NA,20,5,10
"Ozothamnus alpina","Venn",NA,"Australia","Australian Alps","Australia Single -36.8767 147.2408","-36.8767",147.2408,"1840","7","N","N","None",NA,"0","Y",12,"N",0,36,36,36,"35C",NA,20,0,15
"Ozothamnus alpina","Venn",NA,"Australia","Australian Alps","Australia Single -36.8767 147.2408","-36.8767",147.2408,"1840","8","N","N","None",NA,"0","Y",12,"N",0,10,10,10,"10C",NA,20,0,20
"Ozothamnus alpina","Venn",NA,"Australia","Australian Alps","Australia Single -36.8767 147.2408","-36.8767",147.2408,"1840","9","N","N","None",NA,"0","Y",12,"N",0,16,16,16,"15C",NA,20,0,18
"Ozothamnus alpina","Venn",NA,"Australia","Australian Alps","Australia Single -36.8767 147.2408","-36.8767",147.2408,"1840","10","N","N","None",NA,"0","Y",12,"N",0,19,19,19,"20C",NA,20,3,17
"Ozothamnus alpina","Venn",NA,"Australia","Australian Alps","Australia Single -36.8767 147.2408","-36.8767",147.2408,"1840","11","N","N","None",NA,"0","Y",12,"N",0,25,25,25,"25C",NA,20,1,16
"Ozothamnus alpina","Venn",NA,"Australia","Australian Alps","Australia Single -36.8767 147.2408","-36.8767",147.2408,"1840","12","N","N","None",NA,"0","Y",12,"N",0,27,27,27,"25C",NA,20,7,9
"Ozothamnus alpina","Venn",NA,"Australia","Australian Alps","Australia Single -36.8767 147.2408","-36.8767",147.2408,"1840","13","N","N","None",NA,"0","Y",12,"N",0,34,34,34,"35C",NA,20,5,10
"Ozothamnus alpina","Venn",NA,"Australia","Australian Alps","Australia Single -36.8767 147.2408","-36.8767",147.2408,"1840","14","N","N","None",NA,"0","Y",12,"N",0,36,36,36,"35C",NA,20,0,20
"Ozothamnus alpina","Venn",NA,"Australia","Australian Alps","Australia Single -36.8767 147.2408","-36.8767",147.2408,"1840","15","N","N","None",NA,"0","Y",12,"N",0,10,10,10,"10C",NA,20,0,18
"Ozothamnus alpina","Venn",NA,"Australia","Australian Alps","Australia Single -36.8767 147.2408","-36.8767",147.2408,"1840","16","N","N","None",NA,"0","Y",12,"N",0,16,16,16,"15C",NA,20,1,19
"Ozothamnus alpina","Venn",NA,"Australia","Australian Alps","Australia Single -36.8767 147.2408","-36.8767",147.2408,"1840","17","N","N","None",NA,"0","Y",12,"N",0,19,19,19,"20C",NA,20,3,13
"Ozothamnus alpina","Venn",NA,"Australia","Australian Alps","Australia Single -36.8767 147.2408","-36.8767",147.2408,"1840","18","N","N","None",NA,"0","Y",12,"N",0,25,25,25,"25C",NA,20,7,10
"Ozothamnus alpina","Venn",NA,"Australia","Australian Alps","Australia Single -36.8767 147.2408","-36.8767",147.2408,"1840","19","N","N","None",NA,"0","Y",12,"N",0,27,27,27,"25C",NA,20,2,16
"Ozothamnus alpina","Venn",NA,"Australia","Australian Alps","Australia Single -36.8767 147.2408","-36.8767",147.2408,"1840","20","N","N","None",NA,"0","Y",12,"N",0,34,34,34,"35C",NA,20,12,12
"Ozothamnus alpina","Venn",NA,"Australia","Australian Alps","Australia Single -36.8767 147.2408","-36.8767",147.2408,"1840","21","N","N","None",NA,"0","Y",12,"N",0,36,36,36,"35C",NA,20,0,18
"Epacris petrophilla","Venn",NA,"Australia","Australian Alps","Australia Single NA NA",NA,NA,NA,"1","N","N","None",NA,"0","Y",12,"N",0,10,10,10,"10C",NA,20,0,8
"Epacris petrophilla","Venn",NA,"Australia","Australian Alps","Australia Single NA NA",NA,NA,NA,"2","N","N","None",NA,"0","Y",12,"N",0,16,16,16,"15C",NA,20,0,14
"Epacris petrophilla","Venn",NA,"Australia","Australian Alps","Australia Single NA NA",NA,NA,NA,"3","N","N","None",NA,"0","Y",12,"N",0,19,19,19,"20C",NA,20,1,4
"Epacris petrophilla","Venn",NA,"Australia","Australian Alps","Australia Single NA NA",NA,NA,NA,"4","N","N","None",NA,"0","Y",12,"N",0,25,25,25,"25C",NA,20,0,12
"Epacris petrophilla","Venn",NA,"Australia","Australian Alps","Australia Single NA NA",NA,NA,NA,"5","N","N","None",NA,"0","Y",12,"N",0,27,27,27,"25C",NA,20,0,12
"Epacris petrophilla","Venn",NA,"Australia","Australian Alps","Australia Single NA NA",NA,NA,NA,"6","N","N","None",NA,"0","Y",12,"N",0,34,34,34,"35C",NA,20,1,15
"Epacris petrophilla","Venn",NA,"Australia","Australian Alps","Australia Single NA NA",NA,NA,NA,"7","N","N","None",NA,"0","Y",12,"N",0,36,36,36,"35C",NA,20,1,5
