"TPLName","Familia","Alpine","Seed.mass","Dormancy","Embryo"
"Gentiana clusii","Gentianaceae","Strict",0.44,"MPD",0.07
"Gentiana crassuloides","Gentianaceae","Generalist",0.0733,"PD",0.07
"Gentiana dahurica","Gentianaceae","Generalist",NA,"MPD",0.07
"Gentiana leucomelaena","Gentianaceae","Generalist",0.0477,"PD",0.07
"Gentiana nivalis","Gentianaceae","Strict",0.027,"MPD",0.07
"Gentiana nubigena","Gentianaceae","Strict",NA,"MPD",0.07
"Gentiana prostrata","Gentianaceae","Generalist",0.0583,NA,0.07
"Gentiana punctata","Gentianaceae","Strict",0.6989,"MPD",0.07
"Gentiana sino-ornata","Gentianaceae","Generalist",NA,NA,0.07
"Gentiana siphonantha","Gentianaceae","Generalist",NA,NA,0.07
"Gentiana straminea","Gentianaceae","Generalist",0.284683333333333,"MPD",0.07
"Gentiana szechenyii","Gentianaceae","Strict",0.184666666666667,"PD",0.07
"Gentiana verna","Gentianaceae","Generalist",0.0882666666666667,"MPD",0.07
"Gentianella amarella","Gentianaceae","Generalist",NA,"MPD",0.21
"Gentianella anisodonta","Gentianaceae","Strict",NA,NA,0.21
"Gentianella muelleriana","Gentianaceae","Strict",0.4126,NA,0.21
"Gentianopsis barbata","Gentianaceae","Generalist",0.063,"PD",0.05
"Gentianopsis paludosa","Gentianaceae","Generalist",0.181111111111111,"PD",0.05
"Geranium pylzowianum","Geraniaceae","Generalist",NA,NA,1
"Geum montanum","Rosaceae","Strict",1.044,"PD",1
"Geum pyrenaicum","Rosaceae","Generalist",NA,NA,1
"Geum rivale","Rosaceae","Generalist",NA,"PD",1
"Gingidia algens","Apiaceae","Strict",NA,NA,0.06
"Gnaphalium supinum","Compositae","Strict",0.0852,NA,1
"Hedysarum caucasicum","Leguminosae","Generalist",6.686,NA,0.98
"Hedysarum sikkimense","Leguminosae","Strict",NA,NA,0.98
"Helictochloa versicolor","Poaceae","Strict",NA,NA,0.2
"Helictotrichon marginatum","Poaceae","Generalist",NA,NA,0.2
"Helictotrichon tibeticum","Poaceae","Generalist",2.134,"PD",0.2
"Helictotrichon versicolor","Poaceae","Strict",1.7768,NA,0.2
"Heracleum millefolium","Apiaceae","Generalist",2.9453,"MPD",0.06
"Heracleum yungningense","Apiaceae","Generalist",NA,"MPD",0.06
"Heteropappus gouldii","Compositae","Generalist",0.293333333333333,"PD",1
"Hippuris vulgaris","Plantaginaceae","Generalist",1.03185,"PD",0.75
"Homogyne alpina","Compositae","Generalist",1.168,"PD",1
"Hypochaeris tenuifolia","Compositae","Strict",4.4772,NA,1
"Isolepis crassiuscula","Cyperaceae","Generalist",0.2728,NA,0.11
"Isolepis setacea","Cyperaceae","Generalist",0.104805555555556,"PD",0.11
"Jacobaea incana","Compositae","Strict",1.2195,NA,1
"Jacobaea uniflora","Compositae","Strict",NA,NA,1
"Jasione cavanillesii","Campanulaceae","Strict",0.096,NA,0.22
"Juncus allioides","Juncaceae","Generalist",0.0351833333333333,"PD",0.15
"Juncus amplifolius","Juncaceae","Generalist",NA,"PD",0.15
"Juncus balticus","Juncaceae","Generalist",NA,"ND",0.15
"Juncus falcatus","Juncaceae","Generalist",0.0287,NA,0.15
"Juncus filiformis","Juncaceae","Strict",NA,"PD",0.15
"Juncus himalensis","Juncaceae","Generalist",0.036,"PD",0.15
"Juncus monanthos","Juncaceae","Strict",0.1588,NA,0.15
"Juncus sphacelatus","Juncaceae","Strict",NA,NA,0.15
"Juncus thomsonii","Juncaceae","Generalist",0.0473,"PD",0.15
"Juncus trifidus","Juncaceae","Strict",0.1525,NA,0.15
"Juncus triglumis","Juncaceae","Strict",NA,NA,0.15
"Jurinea humilis","Compositae","Generalist",5.5759,NA,1
"Kelleria dieffenbachii","Thymelaeaceae","Strict",0.155,NA,0.99
"Kobresia capillifolia","Cyperaceae","Generalist",NA,"PD",0.08
"Kobresia humilis","Cyperaceae","Generalist",0.446333333333333,NA,0.08
"Kobresia kansuensis","Cyperaceae","Strict",0.989544444444445,"PD",0.08
"Kobresia macrantha","Cyperaceae","Generalist",0.705,NA,0.08
"Kobresia myosuroides","Cyperaceae","Strict",1.4343,"PD",0.08
"Kobresia pygmaea","Cyperaceae","Strict",0.8815,NA,0.08
"Kobresia setschwanensis","Cyperaceae","Generalist",NA,NA,0.08
"Kobresia simpliciuscula","Cyperaceae","Strict",NA,NA,0.08
"Kobresia tibetica","Cyperaceae","Generalist",0.9745,NA,0.08
"Koeleria litvinowii","Poaceae","Strict",0.2673,"PD",0.06
"Kunzea muelleri","Myrtaceae","Strict",0.17065,NA,1
"Lagotis brachystachya","Plantaginaceae","Strict",11.695,NA,0.48
"Lancea tibetica","Phrymaceae","Generalist",0.107677777777778,"PD",0.86
"Laretia acaulis","Apiaceae","Strict",8.9281,NA,0.04
"Leibnitzia nepalensis","Compositae","Strict",1.292,NA,1
"Leontodon hispidus","Compositae","Generalist",1.2,"ND",1
"Leontopodium nanum","Compositae","Generalist",NA,NA,1
"Leontopodium nivale","Compositae","Strict",0.1366,NA,1
"Leontopodium ochroleucum","Compositae","Generalist",0.127666666666667,NA,1
"Leontopodium souliei","Compositae","Generalist",0.1157,"PD",1
"Lepidium apetalum","Brassicaceae","Generalist",0.1999,"PD",1
"Lepidium capitatum","Brassicaceae","Generalist",NA,NA,1
"Lepidium latifolium","Brassicaceae","Generalist",0.1805,NA,1
"Leucanthemopsis alpina","Compositae","Strict",0.3801,NA,1
"Leucochrysum alpinum","Compositae","Generalist",NA,NA,1
"Ligularia macrodonta","Compositae","Generalist",0.7723,"PD",1
"Ligularia virgaurea","Compositae","Generalist",1.75968333333333,"PD",1
"Lilium martagon","Liliaceae","Generalist",NA,"MPD",0.12
"Linaria alpina","Plantaginaceae","Strict",NA,NA,0.48
"Linaria tonzigii","Plantaginaceae","Strict",0.4333,NA,0.48
"Lloydia oxycarpa","Liliaceae","Generalist",0.533,"MPD",0.06
"Loasa caespitosa","Loasaceae","Strict",NA,NA,0.66
"Lomatogonium carinthiacum","Gentianaceae","Generalist",0.0774833333333333,"PD",0.14
"Lomatogonium gamosepalum","Gentianaceae","Generalist",NA,NA,0.14
"Lomatogonium macranthum","Gentianaceae","Generalist",0.164016666666667,"PD",0.14
"Lonicera pyrenaica","Caprifoliaceae","Generalist",NA,NA,0.05
"Luzula acutifolia","Juncaceae","Strict",0.546,NA,0.1
"Luzula alpinopilosa","Juncaceae","Strict",0.2526,NA,0.1
"Luzula brachyphylla","Juncaceae","Generalist",NA,NA,0.1
"Luzula lutea","Juncaceae","Strict",NA,NA,0.1
"Luzula modesta","Juncaceae","Generalist",0.5592,NA,0.1
"Luzula nivea","Juncaceae","Generalist",NA,NA,0.1
"Luzula spicata","Juncaceae","Strict",0.263,"PD",0.1
"Madia sativa","Compositae","Generalist",3.1,"PD",0.99
"Matricaria breviradiata","Compositae","Strict",0.4236,NA,1
"Meconopsis horridula","Papaveraceae","Strict",0.181766666666667,"MPD",0.06
"Meconopsis integrifolia","Papaveraceae","Generalist",0.46465,"MPD",0.06
"Meconopsis punicea","Papaveraceae","Generalist",0.5317,"MPD",0.06
"Meconopsis quintuplinervia","Papaveraceae","Generalist",0.8135,"MPD",0.06
"Megacarpaea delavayi","Brassicaceae","Strict",6.811,"PD",1
"Microgynoecium tibeticum","Amaranthaceae","Strict",0.374,NA,0.67
"Microseris lanceolata","Compositae","Generalist",2.08,"PD",1
"Microsteris gracilis","Polemoniaceae","Generalist",1.148,"PD",0.75
"Microula sikkimensis","Boraginaceae","Generalist",0.507333333333333,NA,0.89
"Microula tangutica","Boraginaceae","Strict",0.507333333333333,NA,0.89
"Minuartia laricifolia","Caryophyllaceae","Strict",NA,NA,0.66
"Minuartia sedoides","Caryophyllaceae","Strict",NA,NA,0.66
"Minuartia verna","Caryophyllaceae","Generalist",0.18,NA,0.66
"Mniarum biflorum","Caryophyllaceae","Generalist",0.44,NA,0.66
"Montiopsis gayana","Montiaceae","Generalist",NA,NA,0.77
"Mutisia sinuata","Compositae","Generalist",NA,NA,1
"Myosotis alpestris","Boraginaceae","Strict",0.85,NA,1
"Nardostachys jatamansi","Caprifoliaceae","Generalist",4.6023,"PD",0.34
"Nardus stricta","Poaceae","Generalist",0.4,"PD",0.2
"Nassauvia lagascae","Compositae","Generalist",NA,NA,1
"Nassauvia pinnigera","Compositae","Strict",1.1,NA,1
"Nassauvia revoluta","Compositae","Generalist",NA,NA,1
"Nastanthus scapigerus","Calyceraceae","Generalist",NA,NA,NA
