"TPLName","Taxon","Source","Year","Country","Region","Macroregion","Accession","Latitude","Longitude","Elevation","Dish","Scarification","GA3","Stratification","Stratification_temperature","Stratification_days","Light","Photoperiod","Alternating","Tdif","Tmax","Tmin","Tmean","Temperature","Length.experiment","Sown","Germinated","Germinable","GRS","GRP","MGT","MGR","GSP","UNC","SYN","VGT","SDG","CVG"
"Chaerophyllum eriopodum","Oreomyrrhis eriopoda","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1960","5","N","N","Cold","2.5","4","Y",12,"N",0,15,15,15,"15C",NA,20,13,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaerophyllum eriopodum","Oreomyrrhis eriopoda","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1960","4","N","N","None",NA,"0","Y",12,"N",0,2.5,2.5,2.5,"0C",NA,20,14,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaerophyllum eriopodum","Oreomyrrhis eriopoda","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1960","1","N","N","Cold","2.5","12","Y",12,"N",0,20,20,20,"20C",NA,20,12,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaerophyllum eriopodum","Oreomyrrhis eriopoda","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1960","2","N","N","Cold","2.5","4","Y",12,"N",0,25,25,25,"25C",NA,20,12,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brachyscome rigidula","Brachyscome rigidula","Venn",NA,"Australia","Australian Alps","Australia","Australia Bluff NA NA",NA,NA,NA,"10","N","N","None",NA,"0","Y",14,"Y",2,12,10,11.1666666666667,"10C",NA,20,19,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epilobium gunnianum","Epilobium gunnianum","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1620","1","N","Y","None",NA,"0","Y",12,"Y",10,20,10,15,"15C",NA,20,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epilobium gunnianum","Epilobium gunnianum","Satyanti",NA,"Australia","Australian Alps","Australia","Australia 8101025 NA NA",NA,NA,"1820","2","N","Y","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,25,6,7,6,85.7142857142857,16.3333333333333,0.0612244897959184,6.12244897959184,0.91829583405449,0.466666666666667,235.466666666667,15.3449231561017,93.9485091189901
"Epilobium gunnianum","Epilobium gunnianum","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1620","3","N","N","None",NA,"0","Y",12,"N",0,10,10,10,"10C",NA,20,14,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epilobium gunnianum","Epilobium gunnianum","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1620","4","N","N","None",NA,"0","Y",12,"N",0,25,25,25,"25C",NA,20,13,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epilobium gunnianum","Epilobium gunnianum","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1620","2","N","N","Cold","5","4","Y",12,"Y",10,20,10,15,"15C",NA,20,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epilobium gunnianum","Epilobium gunnianum","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1620","4","N","N","None",NA,"0","Y",12,"N",0,20,20,20,"20C",NA,20,15,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epilobium gunnianum","Epilobium gunnianum","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1620","1","N","N","None",NA,"0","Y",12,"N",0,15,15,15,"15C",NA,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epilobium gunnianum","Epilobium gunnianum","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1620","2","N","N","None",NA,"0","Y",12,"N",0,20,20,20,"20C",NA,20,12,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
