"TPLName","Family","Alpine","Seed.mass","Seed.mass.rank","Embryo","Embryo.rank","Dormancy"
"Carex lachenalii","Cyperaceae","Strict",1.32605406824147,"Genus",0.06,"Genus",NA
"Carex microglochin","Cyperaceae","Generalist",1.32605406824147,"Genus",0.06,"Genus",NA
"Carex przewalskii","Cyperaceae","Generalist",0.520333333333333,"Species",0.06,"Genus","PD"
"Carex pulicaris","Cyperaceae","Generalist",1.32605406824147,"Genus",0.06,"Genus","PD"
"Carex rariflora","Cyperaceae","Strict",1.32605406824147,"Genus",0.06,"Genus",NA
"Carex rostrata","Cyperaceae","Generalist",1.32605406824147,"Genus",0.06,"Genus","PD"
"Carex saxatilis","Cyperaceae","Generalist",1.32605406824147,"Genus",0.06,"Genus",NA
"Carex scabrirostris","Cyperaceae","Strict",1.9557,"Species",0.06,"Genus",NA
"Carex sempervirens","Cyperaceae","Generalist",1.08,"Species",0.06,"Genus","PD"
"Carpha nivicola","Cyperaceae","Generalist",2.22,"Species",0.11,"Family",NA
"Carum carvi","Apiaceae","Generalist",2.22411111111111,"Species",0.08,"Species","MPD"
"Catolobus pendulus","Brassicaceae","Generalist",0.249166666666667,"Species",1,"Family","PD"
"Celmisia costiniana","Compositae","Strict",2.977,"Species",1,"Family",NA
"Celmisia pugioniformis","Compositae","Generalist",2.478,"Species",1,"Family",NA
"Centaurea nervosa","Compositae","Strict",3.4184,"Species",1,"Genus",NA
"Cerastium alpinum","Caryophyllaceae","Strict",0.275517073170732,"Genus",0.74,"Genus",NA
"Cerastium arcticum","Caryophyllaceae","Strict",0.275517073170732,"Genus",0.74,"Genus",NA
"Cerastium arvense","Caryophyllaceae","Generalist",0.189,"Species",0.74,"Genus","PD"
"Cerastium cerastoides","Caryophyllaceae","Strict",0.275517073170732,"Genus",0.74,"Genus",NA
"Cerastium latifolium","Caryophyllaceae","Strict",0.35,"Species",0.74,"Genus",NA
"Cerastium pedunculatum","Caryophyllaceae","Strict",0.275517073170732,"Genus",0.74,"Genus",NA
"Cerastium uniflorum","Caryophyllaceae","Strict",0.2556,"Species",0.74,"Genus",NA
"Chaerophyllum australianum","Apiaceae","Generalist",1.93,"Species",0.02,"Species",NA
"Chaerophyllum eriopodum","Apiaceae","Generalist",2.45,"Species",0.04,"Species",NA
"Chaetanthera euphrasioides","Compositae","Generalist",1.4546,"Species",1,"Family",NA
"Chaetanthera microphylla","Compositae","Generalist",0.688,"Species",1,"Family",NA
"Chamaesium paradoxum","Apiaceae","Strict",1.05633333333333,"Species",0.06,"Family","MPD"
"Chrysosplenium uniflorum","Saxifragaceae","Generalist",0.141333333333333,"Species",0.1,"Genus",NA
"Circaeaster agrestis","Circaeasteraceae","Generalist",1.08,"Species",0.08410596,"Species",NA
"Cirsium arvense","Compositae","Generalist",1.25739166666667,"Species",1,"Genus","PD"
"Cirsium lanatum","Compositae","Generalist",3.122,"Species",1,"Genus","PD"
"Cirsium souliei","Compositae","Generalist",4.056,"Species",1,"Genus",NA
"Cirsium spinosissimum","Compositae","Strict",2.8964,"Species",1,"Genus",NA
"Clematis tangutica","Ranunculaceae","Generalist",1.56087777777778,"Species",0.04,"Genus","MPD"
"Cochlearia tatrae","Brassicaceae","Strict",0.800771428571429,"Genus",1,"Family",NA
"Codonopsis foetens","Campanulaceae","Strict",0.5,"Species",0.22,"Family",NA
"Colobanthus affinis","Caryophyllaceae","Strict",0.1256,"Species",0.66,"Family",NA
"Coluria longifolia","Rosaceae","Generalist",1.24481666666667,"Species",0.9,"Family","PD"
"Comarum palustre","Rosaceae","Generalist",0.32,"Genus",0.9,"Family","PD"
"Comastoma falcatum","Gentianaceae","Generalist",0.1,"Genus",0.21,"Family","PD"
"Comastoma pedunculatum","Gentianaceae","Strict",0.198666666666667,"Species",0.21,"Family","PD"
"Comastoma pulmonarium","Gentianaceae","Strict",0.276166666666667,"Species",0.21,"Family",NA
"Comastoma tenellum","Gentianaceae","Strict",0.0476,"Genus",0.21,"Family",NA
"Convolvulus arvensis","Convolvulaceae","Generalist",11.3368333333333,"Species",0.87,"Family","PY"
"Cortaderia pilosa","Poaceae","Generalist",0.2604,"Species",0.2,"Family",NA
"Corydalis melanochlora","Papaveraceae","Strict",1.49566666666667,"Species",0.06,"Genus",NA
"Craspedia alba","Compositae","Strict",0.593064705882353,"Genus",1,"Family",NA
"Craspedia costiniana","Compositae","Strict",0.593064705882353,"Genus",1,"Family",NA
"Craspedia lamicola","Compositae","Strict",0.9644,"Species",1,"Family",NA
"Craspedia leucantha","Compositae","Strict",0.156,"Species",1,"Family",NA
