,taxon.name.in.seed.sid,mass,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date,taxon.new
3336,Juncus monanthos Jacq.,0.1588,Juncus,,monanthos,NA,NA,,Jacq.,kew-315483,TRUE,1.1,Accepted,Juncaceae,Juncus,,monanthos,,,Jacq.,kew-315483,Accepted,FALSE,FALSE,FALSE,13/04/2020,Juncus_monanthos
3374,Juncus trifidus L. Uncertain,0.1525,Juncus,,trifidus,NA,NA,,L. Uncertain,kew-316015,TRUE,1.1,Accepted,Juncaceae,Juncus,,trifidus,,,L.,kew-316015,Accepted,FALSE,FALSE,FALSE,13/04/2020,Juncus_trifidus
3641,Luzula acutifolia subsp. acutifolia,0.546,Luzula,,acutifolia,NA,subsp.,acutifolia,,kew-316132,TRUE,1.1,Synonym,Juncaceae,Luzula,,acutifolia,,,H.Nordensk.,kew-316131,Accepted,FALSE,FALSE,FALSE,13/04/2020,Luzula_acutifolia
3644,Luzula alpinopilosa (Chaix) Breistr. subsp. obscura S.E.Fr\'f6hner Orthodox,0.3152,Luzula,,alpinopilosa,NA,subsp.,obscura,S.E.Fr\'f6hner Orthodox,kew-316154,TRUE,1.1,Accepted,Juncaceae,Luzula,,alpinopilosa,subsp.,obscura,S.E.Fröhner,kew-316154,Accepted,FALSE,FALSE,FALSE,13/04/2020,Luzula_alpinopilosa
3645,Luzula alpinopilosa (Chaix) Breistr. Uncertain,0.19,Luzula,,alpinopilosa,NA,NA,,(Chaix) Breistr. Uncertain,kew-316150,TRUE,1.1,Accepted,Juncaceae,Luzula,,alpinopilosa,,,(Chaix) Breistr.,kew-316150,Accepted,FALSE,FALSE,FALSE,13/04/2020,Luzula_alpinopilosa
3665,Luzula modesta Buchenau,0.5592,Luzula,,modesta,NA,NA,,Buchenau,kew-316483,TRUE,1.1,Accepted,Juncaceae,Luzula,,modesta,,,Buchenau,kew-316483,Accepted,FALSE,FALSE,FALSE,13/04/2020,Luzula_modesta
3676,Luzula spicata (Huds.) Gaudin Uncertain,0.263,Luzula,,spicata,NA,NA,,(Huds.) Gaudin Uncertain,kew-316703,TRUE,1.1,Accepted,Juncaceae,Luzula,,spicata,,,(L.) DC.,kew-316703,Accepted,FALSE,FALSE,FALSE,13/04/2020,Luzula_spicata
3842,Nardus stricta L. Orthodox,0.4,Nardus,,stricta,NA,NA,,L. Orthodox,kew-425445,TRUE,1.1,Accepted,Poaceae,Nardus,,stricta,,,L.,kew-425445,Accepted,FALSE,FALSE,FALSE,13/04/2020,Nardus_stricta
3875,Olsynium junceum (E.Mey. ex C.Presl) Goldblatt Orthodox,1.24,Olsynium,,junceum,NA,NA,,(E.Mey. ex C.Presl) Goldblatt Orthodox,kew-324181,TRUE,1.1,Accepted,Iridaceae,Olsynium,,junceum,,,(E.Mey. ex C.Presl) Goldblatt,kew-324181,Accepted,FALSE,FALSE,FALSE,13/04/2020,Olsynium_junceum
3876,Olsynium philippii (Klatt) Goldblatt,5.85,Olsynium,,philippii,NA,NA,,(Klatt) Goldblatt,kew-324174,TRUE,1.1,Accepted,Iridaceae,Olsynium,,philippii,,,(Klatt) Goldblatt,kew-324174,Accepted,FALSE,FALSE,FALSE,13/04/2020,Olsynium_philippii
