Source,Taxon,Country,Region,Latitude,Longitude,Elevation,Stratification_temperature,Stratification_days,Stratification,Scarification,GA3,Light,Dish,Tmax,Tmin,Photoperiod,Sown,Germinated,Normal
Bu,Actaea cimicifuga,China,Qinghai-Tibet Plateau,35.85,102,2300,NA,0,N,N,N,Y,1,25,10,0,50,1,50
Bu,Actaea cimicifuga,China,Qinghai-Tibet Plateau,35.85,102,3500,NA,0,N,N,N,Y,1,20,5,0,50,0,50
Bu,Actaea cimicifuga,China,Qinghai-Tibet Plateau,35.85,102,3500,NA,0,N,N,N,Y,1,20,5,0,50,0,50
Bu,Actaea cimicifuga,China,Qinghai-Tibet Plateau,35.85,102,2300,NA,0,N,N,N,Y,1,20,5,0,50,0,50
Bu,Adenocaulon himalaicum,China,Qinghai-Tibet Plateau,35.85,102,2229,NA,0,N,N,N,Y,1,20,5,12,50,33,50
Bu,Adenocaulon himalaicum,China,Qinghai-Tibet Plateau,35.85,102,2229,NA,0,N,N,N,Y,1,20,5,12,50,30,50
Bu,Adenocaulon himalaicum,China,Qinghai-Tibet Plateau,35.85,102,2229,NA,0,N,N,N,Y,1,20,5,12,50,28,50
Bu,Adenophora himalayana,China,Qinghai-Tibet Plateau,35.85,102,3740,NA,0,N,N,N,Y,1,20,5,12,50,45,50
Bu,Adenophora himalayana,China,Qinghai-Tibet Plateau,35.85,102,3740,NA,0,N,N,N,Y,1,20,5,12,50,42,50
Bu,Adenophora himalayana,China,Qinghai-Tibet Plateau,35.85,102,3740,NA,0,N,N,N,Y,1,20,5,12,50,39,50
Bu,Adenophora himalayana,China,Qinghai-Tibet Plateau,35.85,102,3050,NA,0,N,N,N,Y,1,25,10,0,50,34,50
Bu,Adenophora himalayana,China,Qinghai-Tibet Plateau,35.85,102,3050,NA,0,N,N,N,Y,1,25,10,0,50,37,50
Bu,Adenophora himalayana,China,Qinghai-Tibet Plateau,35.85,102,3050,NA,0,N,N,N,Y,1,25,10,0,50,40,50
Bu,Adenophora himalayana,China,Qinghai-Tibet Plateau,35.85,102,3050,NA,0,N,N,N,Y,1,20,5,0,50,17,50
Bu,Adenophora himalayana,China,Qinghai-Tibet Plateau,35.85,102,3050,NA,0,N,N,N,Y,1,20,5,0,50,27,50
Bu,Adenophora himalayana,China,Qinghai-Tibet Plateau,35.85,102,3050,NA,0,N,N,N,Y,1,20,5,0,50,24,50
Bu,Adenophora liliifolioides,China,Qinghai-Tibet Plateau,35.85,102,3061,NA,0,N,N,N,Y,1,20,5,12,50,35,50
Bu,Adenophora liliifolioides,China,Qinghai-Tibet Plateau,35.85,102,3061,NA,0,N,N,N,Y,1,20,5,12,50,35,50
