ID,Family ,Species,loggevity,dispersal mode,altitude(m),"seed mass (g,100seeds)-sample1","seed mass (g,100seeds)-sample2","seed mass (g,100seeds)-sample3"
4.91,Cuscutaceae,Curscuta euvopaea ,A,adhesive,2876,0.0377,0.0352,0.0395
2.176,Scrophulariaceae,Pedicularis szetschuanica subsp.szetschuanica,A,unassisted,3530,0.034,0.0392,0.0411
29.03,Scrophulariaceae,Scrophularia mcisa ,P,unassisted,2380,0.0407,0.0372,0.0376
1.01,Alliaceae,Allium polyrhizum ,P,ant,3496,0.0492,0.0332,0.0351
2.5,Plantaginaceae,Plantage depressa ,A,unassisted,2954,0.049,0.0335,0.0363
1.26,Rosaceae,Potentilla conferta,P,unassisted,2251,0.0378,0.041,0.0416
17.1,Gentianaceae ,Gentianopsis paludosa var. alpina,A,unassisted,2940,0.0415,0.0389,0.0409
1.11,Rosaceae,Potentilla sp,P,unassisted,3417,0.0357,0.0313,0.0547
1.04,Rosaceae,Potentilla pamiroalaica,P,unassisted,2955,0.0376,0.0398,0.0481
3.25,Asteraceae,Artemisia sieversiana,A,wind,2345,0.0413,0.0422,0.0427
13.68,Asteraceae,Pyrethrum tatsienense,P,wind,3903,0.041,0.0439,0.0419
3.14,Juncaginaceae,Triglochin maritimum,P,unassisted,3623,0.0327,0.0469,0.049
2.167,Cyperaceae,Carex chlorostachys,P,unassisted,3397,0.0426,0.0468,0.0404
1.08,Alliaceae,Allium rude ,P,ant,3550,0.0477,0.052,0.0302
4.89,Circaeasteraceae,Circaeaster agrestis ,A,unassisted,3740,0.0416,0.0451,0.0437
2.31,Asteraceae,Amaranthus retroflexus,A,unassisted,1718,0.0436,0.0423,0.0461
10.44,Poaceae,Digitaria chrysoblephara,A,unassisted,1879,0.0444,0.0476,0.044
9.19,Brassicaceae,Dontostemon micranthus ,P,ant,3417,0.0439,0.0459,0.0478
2.112,Poaceae,Deyeuxia flavens ,P,unassisted,3740,0.0454,0.0472,0.0452
13.23,Asteraceae,Parasenecio sinica,P,wind,2691,0.0473,0.0447,0.048
4.74,Caryophyllaceae,Stellaria media ,A,unassisted,3011,0.0524,0.0458,0.044
1.57,Ranunculaceae,Trollius farreri Stapf,P,unassisted,3050,0.0504,0.0455,0.0499
13.75,Asteraceae,Picris japonica Thunb,A,wind,2960,0.0514,0.0484,0.0467
2.137,Poaceae,Trisetum sibiricum ,P,unassisted,3886,0.0532,0.0503,0.0431
13.18,Asteraceae,Doronicum stenoglossum ,P,wind,3050,0.0476,0.05,0.0502
2.01,Alliaceae,Allium sikkimanse,P,ant,3550,0.0664,0.044,0.0378
24.01,Apiaceae,Pternopetalum heterophyllum,P,unassisted,3468,0.0574,0.0459,0.0465
4.84,Campanulaceae,Codonopsis nervosa,P,unassisted,3678,0.0485,0.0528,0.0487
1.18,Alliaceae,Allium cyaneum Regel.,P,ant,3402,0.0483,0.0507,0.0513
4.14,Boraginaceae,Microula tangutica Maxim.,P,unassisted,3496,0.0406,0.0528,0.0588
6.11,Boraginaceae,Microula sikkimensis,P,unassisted,3496,0.0406,0.0528,0.0588
4.24,Solanaceae,Hyoscyamus niger,A,unassisted,2202,0.052,0.053,0.0474
2.174,Scrophulariaceae,Pedicularis polyodonta ,A,unassisted,3021,0.0496,0.0483,0.0551
26.11,Brassicaceae,Brassicaceae sp,A,ant,3565,0.051,0.0515,0.0512
25.06,Cyperaceae,Carex przewalski ,P,unassisted,3417,0.0542,0.0444,0.0575
10.31,Poaceae,Festuca parrigluma ,P,unassisted,3500,0.0525,0.0526,0.0514
1.19,Alliaceae,Allium chrysocephalun ,P,ant,3824,0.0596,0.0558,0.043
2.55,Apiaceae,Ligusticum moniliforme,P,wind,2620,0.0526,0.0588,0.0479
13.55,Asteraceae,Taraxacum maurocarpum ,P,wind,2954,0.0526,0.0566,0.0514
1.27,Alliaceae,Allium sp,P,ant,3550,0.0568,0.0548,0.0491
2.62,Apiaceae,Aeronema chinense ,P,unassisted,3740,0.0519,0.0521,0.0568
13.79,Asteraceae,Heteropappus crenatifoius ,A,wind,2602,0.0564,0.0492,0.0554
2.49,Primulaceae ,Androsace mariae,A,unassisted,3903,0.0477,0.0583,0.0557
29.08,Scrophulariaceae,Pedicularis lasiophrysa ,P,unassisted,3434,0.0551,0.0499,0.0587
2.17,Euphorbiaceae ,Euphorbia humifusa ,A,wind,1718,0.0302,0.0829,0.0513
13.8,Asteraceae,Aster ageratoides ,P,wind,2188,0.0648,0.0521,0.0479
29.07,Scrophulariaceae,Pedicularis brevilabris,A,unassisted,3500,0.0558,0.0568,0.0534
1.65,Scrophulariaceae,Pedicularis semitorta Maxim.,A,unassisted,2954,0.0568,0.0573,0.0525
13.07,Asteraceae,Chaetoseris roborowskii ,P,wind,3397,0.0505,0.0583,0.0586
2.013,Apiaceae,Tongoloa elata ,P,unassisted,3903,0.0632,0.0514,0.0528
2.57,Apiaceae,Tongoloa sp,P,unassisted,3903,0.0632,0.0514,0.0528
29.06,Scrophulariaceae,Pedicularis cheilanthifolia ,P,unassisted,3903,0.0574,0.0541,0.058
