ID,Days,Germinated,Tmax,Tmin,Light
8.07,60,17,20,5,0
8.07,60,4,20,5,0
8.07,60,10,20,5,0
8.08,60,0,20,5,0
8.08,60,1,20,5,0
8.08,60,1,20,5,0
9.01,60,8,20,5,0
9.01,60,7,20,5,0
9.01,60,5,20,5,0
9.02,60,47,20,5,0
9.02,60,51,20,5,0
9.02,60,48,20,5,0
9.03,60,11,20,5,0
9.03,60,19,20,5,0
9.03,60,19,20,5,0
9.04,60,4,20,5,0
9.04,60,3,20,5,0
9.04,60,1,20,5,0
9.05,60,3,20,5,0
9.05,60,5,20,5,0
9.05,60,7,20,5,0
9.06,60,3,20,5,0
9.06,60,3,20,5,0
9.06,60,4,20,5,0
9.09,60,19,20,5,0
9.09,60,16,20,5,0
9.09,60,13,20,5,0
9.11,60,5,20,5,0
9.11,60,4,20,5,0
9.11,60,1,20,5,0
9.12,60,9,20,5,0
9.12,60,4,20,5,0
9.12,60,5,20,5,0
9.13,60,6,20,5,0
9.13,60,10,20,5,0
9.13,60,1,20,5,0
9.15,60,0,20,5,0
9.15,60,0,20,5,0
9.15,60,0,20,5,0
9.17,60,3,20,5,0
9.17,60,3,20,5,0
9.17,60,4,20,5,0
9.18,60,3,20,5,0
9.18,60,1,20,5,0
9.18,60,3,20,5,0
9.2,60,2,20,5,0
9.2,60,0,20,5,0
9.2,60,2,20,5,0
9.22,60,17,20,5,0
9.22,60,20,20,5,0
9.22,60,6,20,5,0
9.23,60,7,20,5,0
9.23,60,10,20,5,0
9.23,60,8,20,5,0
9.24,60,7,20,5,0
9.24,60,10,20,5,0
9.24,60,7,20,5,0
9.25,60,22,20,5,0
9.25,60,20,20,5,0
9.25,60,19,20,5,0
9.27,60,2,20,5,0
9.27,60,4,20,5,0
9.27,60,3,20,5,0
9.28,60,4,20,5,0
9.28,60,1,20,5,0
9.28,60,3,20,5,0
9.29,60,0,20,5,0
9.29,60,1,20,5,0
9.29,60,1,20,5,0
9.3,60,1,20,5,0
9.3,60,3,20,5,0
9.3,60,0,20,5,0
9.31,60,18,20,5,0
9.31,60,26,20,5,0
9.31,60,22,20,5,0
9.32,60,34,20,5,0
9.32,60,35,20,5,0
9.32,60,26,20,5,0
9.33,60,14,20,5,0
9.33,60,15,20,5,0
9.33,60,16,20,5,0
9.35,60,6,20,5,0
9.35,60,8,20,5,0
9.35,60,8,20,5,0
9.36,60,5,20,5,0
9.36,60,7,20,5,0
9.36,60,6,20,5,0
9.37,60,6,20,5,0
9.37,60,4,20,5,0
9.37,60,6,20,5,0
9.4,60,7,20,5,0
9.4,60,12,20,5,0
9.4,60,12,20,5,0
9.43,60,5,20,5,0
9.43,60,8,20,5,0
9.43,60,2,20,5,0
9.46,60,3,20,5,0
9.46,60,2,20,5,0
9.46,60,2,20,5,0
9.47,60,0,20,5,0
9.47,60,1,20,5,0
9.47,60,2,20,5,0
9.48,60,31,20,5,0
9.48,60,22,20,5,0
9.48,60,25,20,5,0
9.49,60,16,20,5,0
9.49,60,11,20,5,0
9.49,60,20,20,5,0
9.51,60,7,20,5,0
9.51,60,11,20,5,0
9.51,60,7,20,5,0
9.52,60,6,20,5,0
9.52,60,5,20,5,0
9.52,60,5,20,5,0
9.53,60,19,20,5,0
9.53,60,21,20,5,0
9.53,60,22,20,5,0
9.55,60,21,20,5,0
9.55,60,21,20,5,0
9.55,60,29,20,5,0
9.56,60,4,20,5,0
9.56,60,2,20,5,0
9.56,60,6,20,5,0
9.58,60,28,20,5,0
9.58,60,29,20,5,0
9.58,60,29,20,5,0
9.59,60,15,20,5,0
9.59,60,20,20,5,0
9.59,60,13,20,5,0
9.6,60,2,20,5,0
