"Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date","Name","Longevity","Dispersal","Elevation","Days","Germinated","Tmax","Tmin","Light"
"Aconitum brunneum Hand.-Mazz.","Aconitum","","brunneum",NA,NA,"","Hand.-Mazz.","kew-2618464",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","brunneum","","","Hand.-Mazz.","kew-2618464","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum brunneum","P","unassisted",3300,60,8,25,10,0
"Aconitum brunneum Hand.-Mazz.","Aconitum","","brunneum",NA,NA,"","Hand.-Mazz.","kew-2618464",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","brunneum","","","Hand.-Mazz.","kew-2618464","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum brunneum","P","unassisted",3300,60,22,20,5,0
"Aconitum brunneum Hand.-Mazz.","Aconitum","","brunneum",NA,NA,"","Hand.-Mazz.","kew-2618464",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","brunneum","","","Hand.-Mazz.","kew-2618464","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum brunneum","P","unassisted",3300,60,26,20,5,0
"Aconitum brunneum Hand.-Mazz.","Aconitum","","brunneum",NA,NA,"","Hand.-Mazz.","kew-2618464",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","brunneum","","","Hand.-Mazz.","kew-2618464","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum brunneum","P","unassisted",3300,60,26,20,5,0
"Aconitum flavum ","Aconitum","","flavum",NA,NA,"","","kew-2618716",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","flavum","","","Hand.-Mazz.","kew-2618716","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum flavum","P","unassisted",3712,40,3,20,5,12
"Aconitum flavum ","Aconitum","","flavum",NA,NA,"","","kew-2618716",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","flavum","","","Hand.-Mazz.","kew-2618716","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum flavum","P","unassisted",3712,40,1,20,5,12
"Aconitum flavum ","Aconitum","","flavum",NA,NA,"","","kew-2618716",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","flavum","","","Hand.-Mazz.","kew-2618716","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum flavum","P","unassisted",3712,40,1,20,5,12
"Aconitum flavum Hand.-Mazz.","Aconitum","","flavum",NA,NA,"","Hand.-Mazz.","kew-2618716",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","flavum","","","Hand.-Mazz.","kew-2618716","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum flavum","P","unassisted",2300,60,35,20,5,0
"Aconitum flavum Hand.-Mazz.","Aconitum","","flavum",NA,NA,"","Hand.-Mazz.","kew-2618716",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","flavum","","","Hand.-Mazz.","kew-2618716","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum flavum","P","unassisted",2300,60,9,25,10,0
"Aconitum flavum Hand.-Mazz.","Aconitum","","flavum",NA,NA,"","Hand.-Mazz.","kew-2618716",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","flavum","","","Hand.-Mazz.","kew-2618716","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum flavum","P","unassisted",2300,60,31,20,5,0
"Aconitum flavum Hand.-Mazz.","Aconitum","","flavum",NA,NA,"","Hand.-Mazz.","kew-2618716",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","flavum","","","Hand.-Mazz.","kew-2618716","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum flavum","P","unassisted",2300,60,30,20,5,0
"Aconitum flavum Hand.-Mazz.","Aconitum","","flavum",NA,NA,"","Hand.-Mazz.","kew-2618716",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","flavum","","","Hand.-Mazz.","kew-2618716","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum flavum","P","unassisted",2300,60,13,25,10,0
"Aconitum flavum Hand.-Mazz.","Aconitum","","flavum",NA,NA,"","Hand.-Mazz.","kew-2618716",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","flavum","","","Hand.-Mazz.","kew-2618716","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum flavum","P","unassisted",2300,60,11,25,10,0
