ID,Germinated,Days,Tmax,Tmin,Light
25.19,49,40,20,5,12
25.19,50,40,20,5,12
25.19,50,40,20,5,12
25.02,26,40,20,5,12
25.02,25,40,20,5,12
25.02,25,40,20,5,12
25.03,50,40,20,5,12
25.03,48,40,20,5,12
25.03,45,40,20,5,12
25.06,18,40,20,5,12
25.06,19,40,20,5,12
25.06,19,40,20,5,12
25.07,42,40,20,5,12
25.07,47,40,20,5,12
25.07,48,40,20,5,12
25.09,48,40,20,5,12
25.09,49,40,20,5,12
25.09,47,40,20,5,12
26.01,50,40,20,5,12
26.01,50,40,20,5,12
26.01,47,40,20,5,12
26.02,21,40,20,5,12
26.02,25,40,20,5,12
26.02,24,40,20,5,12
26.03,4,40,20,5,12
26.03,3,40,20,5,12
26.03,9,40,20,5,12
26.04,16,40,20,5,12
26.04,17,40,20,5,12
26.04,21,40,20,5,12
26.05,22,40,20,5,12
26.05,25,40,20,5,12
26.05,15,40,20,5,12
26.06,10,40,20,5,12
26.06,9,40,20,5,12
26.06,4,40,20,5,12
26.07,18,40,20,5,12
26.07,13,40,20,5,12
26.07,13,40,20,5,12
26.08,49,40,20,5,12
26.08,49,40,20,5,12
26.08,48,40,20,5,12
26.09,23,40,20,5,12
26.09,31,40,20,5,12
26.09,20,40,20,5,12
27.01,33,40,20,5,12
27.01,29,40,20,5,12
27.01,33,40,20,5,12
27.02,31,40,20,5,12
27.02,30,40,20,5,12
27.02,28,40,20,5,12
27.04,33,40,20,5,12
27.04,41,40,20,5,12
27.04,33,40,20,5,12
27.05,46,40,20,5,12
27.05,49,40,20,5,12
27.05,47,40,20,5,12
27.06,18,40,20,5,12
27.06,25,40,20,5,12
27.06,25,40,20,5,12
27.07,10,40,20,5,12
27.07,5,40,20,5,12
27.07,11,40,20,5,12
27.08,43,40,20,5,12
27.08,38,40,20,5,12
27.08,47,40,20,5,12
27.09,8,40,20,5,12
27.09,4,40,20,5,12
27.09,6,40,20,5,12
29.01,17,40,20,5,12
29.01,22,40,20,5,12
29.01,19,40,20,5,12
29.11,41,40,20,5,12
29.11,46,40,20,5,12
29.11,46,40,20,5,12
29.12,48,40,20,5,12
29.12,50,40,20,5,12
29.12,49,40,20,5,12
29.13,38,40,20,5,12
29.13,30,40,20,5,12
29.13,27,40,20,5,12
29.02,2,40,20,5,12
29.02,1,40,20,5,12
29.02,2,40,20,5,12
29.03,29,40,20,5,12
29.03,30,40,20,5,12
29.03,32,40,20,5,12
29.04,42,40,20,5,12
29.04,45,40,20,5,12
29.04,47,40,20,5,12
29.05,3,40,20,5,12
29.05,4,40,20,5,12
29.05,3,40,20,5,12
29.06,3,40,20,5,12
29.06,1,40,20,5,12
29.06,2,40,20,5,12
29.07,24,40,20,5,12
29.07,23,40,20,5,12
29.07,25,40,20,5,12
29.08,1,40,20,5,12
29.08,6,40,20,5,12
29.08,6,40,20,5,12
29.09,49,40,20,5,12
29.09,49,40,20,5,12
29.09,49,40,20,5,12
