Species,Region,Source,Population,Latitude,Longitude,Min.elevation,Max.elevation,Treeline,Alpine,Scarification,GA3,Stratification,Light,Alternating,Tmean,Temperature,Germinated,Germinable
Amberboa_glauca,,,K_340276,Georgia,,,,,,N,N,N,Y,Y,15,15,17,19
Amberboa_glauca,,,K_340276,Georgia,,,,,,N,N,N,Y,N,20,20,11,19
Androsace_barbulata,,,K_343808,Georgia,,,,,,N,Y,N,Y,N,20,20,9,9
Androsace_barbulata,,,K_343808,Georgia,,,,,,N,Y,Y,Y,N,20,20,9,10
Anemone_narcissifolia,,,K_185316,Italy,,,,,,N,N,N,Y,N,5,5,0,20
Anemone_narcissifolia,,,K_185316,Italy,,,,,,N,N,N,Y,N,10,10,0,20
Anemone_narcissifolia,,,K_185316,Italy,,,,,,N,N,N,Y,N,15,15,0,20
Anemone_narcissifolia,,,K_185316,Italy,,,,,,N,N,N,Y,Y,15,15,0,20
Anemone_narcissifolia,,,K_185316,Italy,,,,,,N,Y,N,Y,Y,15,15,11,20
Anemone_narcissifolia,,,K_185316,Italy,,,,,,N,N,N,Y,N,20,20,0,20
Anemone_narcissifolia,,,K_185316,Italy,,,,,,N,N,N,Y,Y,20,20,12,20
Anemone_narcissifolia,,,K_185316,Italy,,,,,,N,N,N,Y,N,20,20,16,20
Anemone_narcissifolia,,,WARS_002/04,Poland,,,,,,N,Y,N,Y,Y,21.66666667,21.66666667,355,500
Anemone_narcissifolia,,,WARS_004/01,Poland,,,,,,N,Y,N,Y,Y,21.66666667,21.66666667,70,500
Anemone_narcissifolia,,,B_FR-2606802,France,,,,,,N,N,N,Y,N,22,22,0,20
Anthemis_cretica,,,K_156550,Greece,,,,,,N,N,N,Y,N,20,20,7,7
Aquilegia_atrata,,,PAV_LC153,Italy,,,,,,N,Y,N,Y,N,10,10,6,25
Aquilegia_atrata,,,B_FR-2606302,France,,,,,,N,N,N,Y,N,22,22,16,20
Aquilegia_einseleana,,,K_203719,Italy,,,,,,N,N,N,Y,N,5,5,0,20
Aquilegia_einseleana,,,K_203719,Italy,,,,,,N,N,N,Y,N,10,10,0,20
Aquilegia_einseleana,,,K_203719,Italy,,,,,,N,N,N,Y,N,15,15,0,18
Aquilegia_einseleana,,,K_203719,Italy,,,,,,N,Y,N,Y,Y,15,15,18,20
Aquilegia_einseleana,,,K_16737,Austria,,,,,,N,Y,Y,Y,Y,15,15,32,47
Aquilegia_einseleana,,,PAV_BG338,Italy,,,,,,N,Y,N,Y,Y,15,15,45,50
Aquilegia_einseleana,,,K_16737,Austria,,,,,,N,Y,Y,Y,Y,16,16,34,50
Aquilegia_einseleana,,,K_16737,Austria,,,,,,N,N,Y,Y,Y,16,16,37,50
Aquilegia_einseleana,,,K_203719,Italy,,,,,,N,N,N,Y,N,20,20,0,20
Arenaria_norvegica,,,K_115906,United-Kingdom,,,,,,N,Y,Y,Y,Y,15,15,9,9
Arenaria_norvegica,,,K_109464,United-Kingdom,,,,,,N,Y,Y,Y,Y,15,15,2,10
Arenaria_norvegica,,,K_109464,United-Kingdom,,,,,,N,Y,N,Y,Y,15,15,5,10
Arenaria_norvegica,,,K_109475,United-Kingdom,,,,,,N,N,Y,Y,Y,15,15,19,20
Arenaria_norvegica,,,K_115906,United-Kingdom,,,,,,N,Y,Y,Y,Y,16,16,8,10
Arenaria_norvegica,,,K_109475,United-Kingdom,,,,,,N,Y,Y,Y,Y,16,16,20,20
Arenaria_norvegica,,,K_109464,United-Kingdom,,,,,,N,Y,N,Y,N,20,20,10,10
Arenaria_norvegica&anglica,,,K_100357,United-Kingdom,,,,,,N,Y,Y,Y,Y,15,15,7,20
Arenaria_norvegica&anglica,,,K_100357,United-Kingdom,,,,,,N,Y,Y,Y,Y,15,15,15,20
Arenaria_norvegica&anglica,,,K_100357,United-Kingdom,,,,,,N,Y,Y,Y,Y,16,16,20,20
Arenaria_norvegica&anglica,,,K_109486,United-Kingdom,,,,,,N,N,N,Y,N,20,20,19,20
Arenaria_norvegica&anglica,,,K_109486,United-Kingdom,,,,,,N,N,N,Y,N,21,21,20,20
Artemisia_eriantha,,,WARS_056/03,Poland,,,,,,N,N,N,Y,Y,21.66666667,21.66666667,460,500
Aruncus_dioicus,,,WARS_005/03,Poland,,,,,,N,Y,N,Y,Y,21.66666667,21.66666667,0,500
Aruncus_dioicus,,,WARS_010/03,Poland,,,,,,N,Y,N,Y,Y,21.66666667,21.66666667,410,500
Aruncus_dioicus,,,WARS_011/03,Poland,,,,,,N,Y,N,Y,Y,21.66666667,21.66666667,420,500
Aruncus_dioicus,,,WARS_012/03,Poland,,,,,,N,Y,N,Y,Y,21.66666667,21.66666667,445,500
Aruncus_dioicus,,,WARS_036/04,Poland,,,,,,N,Y,N,Y,Y,21.66666667,21.66666667,395,500
Aruncus_dioicus,,,WARS_037/04,Poland,,,,,,N,Y,N,Y,Y,21.66666667,21.66666667,290,500
Aruncus_dioicus,,,WARS_038/04,Poland,,,,,,N,Y,N,Y,Y,21.66666667,21.66666667,465,500
Aster_ibericus,,,K_368986,Georgia,,,,,,N,N,N,Y,N,15,15,9,16
Aster_ibericus,,,K_368986,Georgia,,,,,,N,N,N,Y,Y,15,15,16,16
Aster_ibericus,,,K_368986,Georgia,,,,,,N,N,N,Y,N,20,20,6,16
Astragalus_australis,,,WARS_001/02,Poland,,,,,,N,Y,N,Y,Y,21.66666667,21.66666667,225,500
Astragalus_australis,,,WARS_043/02,Poland,,,,,,N,Y,N,Y,Y,21.66666667,21.66666667,315,500
Astragalus_australis,,,WARS_044/02,Poland,,,,,,N,Y,N,Y,Y,21.66666667,21.66666667,365,500
Astragalus_cyri,,,K_340597,Georgia,,,,,,Y,N,N,Y,N,15,15,10,10
Astragalus_cyri,,,K_340597,Georgia,,,,,,Y,N,N,Y,N,20,20,10,10
