Original,Spelling,Original.clean,TPLName,Familia,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date,Tax_res
Dianthus furcatus,Dianthus furcatus,Dianthus furcatus,Dianthus furcatus,Caryophyllaceae,Dianthus,NA,furcatus,NA,NA,,,kew-2764239,TRUE,1.1,Accepted,Caryophyllaceae,Dianthus,,furcatus,,,Balb.,kew-2764239,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Dianthus glacialis,Dianthus glacialis,Dianthus glacialis,Dianthus glacialis,Caryophyllaceae,Dianthus,NA,glacialis,NA,NA,,,kew-2764282,TRUE,1.1,Accepted,Caryophyllaceae,Dianthus,,glacialis,,,Haenke,kew-2764282,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Dianthus orientalis,Dianthus orientalis,Dianthus orientalis,Dianthus orientalis,Caryophyllaceae,Dianthus,NA,orientalis,NA,NA,,,kew-2764647,TRUE,1.1,Accepted,Caryophyllaceae,Dianthus,,orientalis,,,Adams,kew-2764647,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Dianthus plumarius,Dianthus plumarius,Dianthus plumarius,Dianthus plumarius,Caryophyllaceae,Dianthus,NA,plumarius,NA,NA,,,kew-2764711,TRUE,1.1,Accepted,Caryophyllaceae,Dianthus,,plumarius,,,L.,kew-2764711,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Dianthus superbus,Dianthus superbus,Dianthus superbus,Dianthus superbus,Caryophyllaceae,Dianthus,NA,superbus,NA,NA,,,kew-2764999,TRUE,1.1,Accepted,Caryophyllaceae,Dianthus,,superbus,,,L.,kew-2764999,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Dianthus superbus L.,Dianthus superbus L.,Dianthus superbus,Dianthus superbus,Caryophyllaceae,Dianthus,NA,superbus,NA,NA,,L.,kew-2764999,TRUE,1.1,Accepted,Caryophyllaceae,Dianthus,,superbus,,,L.,kew-2764999,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Dianthus sylvestris,Dianthus sylvestris,Dianthus sylvestris,Dianthus sylvestris,Caryophyllaceae,Dianthus,NA,sylvestris,NA,NA,,,kew-2765016,TRUE,1.1,Accepted,Caryophyllaceae,Dianthus,,sylvestris,,,Wulfen,kew-2765016,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Dichosciadium ranunculaceum var. ranunculaceum,Dichosciadium ranunculaceum var. ranunculaceum,Dichosciadium ranunculaceum,Dichosciadium ranunculaceum,Apiaceae,Dichosciadium,NA,ranunculaceum,NA,var.,ranunculaceum,,kew-2766243,TRUE,1.1,Accepted,Apiaceae,Dichosciadium,,ranunculaceum,,,(F.Muell.) Domin,kew-2766243,Accepted,FALSE,FALSE,TRUE,18/04/2020,Species
Dicranostigma lactucoides Hook. f. et Thoms.,Dicranostigma lactucoides Hook. f. et Thoms.,Dicranostigma lactucoides,Dicranostigma lactucoides,Papaveraceae,Dicranostigma,NA,lactucoides,NA,f.,,Hook. et Thoms.,kew-2766932,TRUE,1.1,Accepted,Papaveraceae,Dicranostigma,,lactucoides,,,Hook.f. & Thomson,kew-2766932,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Dicranostigma leptopodum (Maxim.) Fedde,Dicranostigma leptopodum (Maxim.) Fedde,Dicranostigma leptopodum,Dicranostigma leptopodum,Papaveraceae,Dicranostigma,NA,leptopodum,NA,NA,,(Maxim.) Fedde,kew-2766933,TRUE,1.1,Accepted,Papaveraceae,Dicranostigma,,leptopodum,,,(Maxim.) Fedde,kew-2766933,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
