"Species","Treatment","Germination"
"Primula farinosa","X25.150CS",21.2
"Pulsatilla alpina","X25.150CS",6.7
"Pulsatilla vernalis","X25.150CS",85
"Ranunculus montanum.","X25.150CS",13.7
"Rhinanthus glacialis","X25.150CS",0
"Scorzoneroides helvetica","X25.150CS",69.6
"Senecio doronicum","X25.150CS",92.6
"Serratula tinctoria","X25.150CS",76.5
"Sesleria caerulea","X25.150CS",97.6
"Soldanella alpina","X25.150CS",100
"Solidago virgaurea","X25.150CS",100
"Valeriana montana","X25.150CS",3
"Achillea moschata","X25.153CS",100
"Achillea nana","X25.153CS",91.7
"Antennaria dioica","X25.153CS",82.5
"Anthoxanthum odoratum","X25.153CS",62.7
"Anthyllis vulneraria","X25.153CS",6.7
"Arnica montana","X25.153CS",96.5
"Aster alpinus","X25.153CS",92.4
"Bartsia alpina","X25.153CS",56.7
"Biscutella laevigata","X25.153CS",58.2
"Campanula barbata","X25.153CS",100
"Carex curvula","X25.153CS",0
"Carex firma","X25.153CS",42.2
"Carex sempervirens","X25.153CS",10
"Dryas octopetala","X25.153CS",91.7
"Festuca halleri","X25.153CS",65
"Festuca nigricans","X25.153CS",91.1
"Festuca pumila","X25.153CS",39.2
"Festuca nigrescens","X25.153CS",48.3
"Gentiana acaulis","X25.153CS",10
"Gentiana clusii","X25.153CS",39.1
"Gentiana nivalis","X25.153CS",20.5
"Gentiana punctata","X25.153CS",32.2
"Gentiana verna","X25.153CS",0
"Gentianella anisodonta","X25.153CS",1.7
"Geum montanum","X25.153CS",83.9
"Helictochloa versicolor","X25.153CS",45.5
"Horminum pyrenaicum","X25.153CS",100
"Leontodon hispidus","X25.153CS",100
"Leontopodium alpinum","X25.153CS",100
"Lotus corniculatus","X25.153CS",28.3
"Luzula spicata","X25.153CS",0
"Minuartia verna subsp. verna","X25.153CS",13.3
"Nardus stricta","X25.153CS",52.8
"Pedicularis tuberosa","X25.153CS",0
"Phleum rhaeticum","X25.153CS",74
"Phyteuma hemisphaericum","X25.153CS",75.9
"Phyteuma orbiculare","X25.153CS",31.2
"Pilosella officinarum","X25.153CS",100
"Poa alpina","X25.153CS",21.7
"Polygala alpina","X25.153CS",36.1
"Potentilla aurea","X25.153CS",30.1
"Primula farinosa","X25.153CS",91.7
"Pulsatilla alpina","X25.153CS",100
"Pulsatilla vernalis","X25.153CS",56.8
"Ranunculus montanum.","X25.153CS",15.3
"Rhinanthus glacialis","X25.153CS",0
"Scorzoneroides helvetica","X25.153CS",93.3
"Senecio doronicum","X25.153CS",92.6
"Serratula tinctoria","X25.153CS",100
"Sesleria caerulea","X25.153CS",11.1
"Soldanella alpina","X25.153CS",96.1
"Solidago virgaurea","X25.153CS",100
"Valeriana montana","X25.153CS",47.1
"Achillea moschata","X25.155CS",100
"Achillea nana","X25.155CS",94.4
"Antennaria dioica","X25.155CS",71.7
"Anthoxanthum odoratum","X25.155CS",60.1
"Anthyllis vulneraria","X25.155CS",3.8
"Arnica montana","X25.155CS",90
"Aster alpinus","X25.155CS",100
"Bartsia alpina","X25.155CS",50.9
"Biscutella laevigata","X25.155CS",31.6
"Campanula barbata","X25.155CS",93.3
"Carex curvula","X25.155CS",0
"Carex firma","X25.155CS",49.4
"Carex sempervirens","X25.155CS",23.7
"Dryas octopetala","X25.155CS",84.4
"Festuca halleri","X25.155CS",53.7
"Festuca nigricans","X25.155CS",100
"Festuca pumila","X25.155CS",100
"Festuca nigrescens","X25.155CS",50
"Gentiana acaulis","X25.155CS",0
"Gentiana clusii","X25.155CS",52.4
"Gentiana nivalis","X25.155CS",0
"Gentiana punctata","X25.155CS",15.1
"Gentiana verna","X25.155CS",24.5
"Gentianella anisodonta","X25.155CS",7.2
"Geum montanum","X25.155CS",81.5
"Helictochloa versicolor","X25.155CS",35.5
"Horminum pyrenaicum","X25.155CS",96.3
"Leontodon hispidus","X25.155CS",100
"Leontopodium alpinum","X25.155CS",100
"Lotus corniculatus","X25.155CS",5
"Luzula spicata","X25.155CS",3.3
"Minuartia verna subsp. verna","X25.155CS",3.3
"Nardus stricta","X25.155CS",64.2
"Pedicularis tuberosa","X25.155CS",0
"Phleum rhaeticum","X25.155CS",80
"Phyteuma hemisphaericum","X25.155CS",40.5
"Phyteuma orbiculare","X25.155CS",24.2
"Pilosella officinarum","X25.155CS",55.6
"Poa alpina","X25.155CS",16.9
"Polygala alpina","X25.155CS",35.7
"Potentilla aurea","X25.155CS",25
"Primula farinosa","X25.155CS",76.7
"Pulsatilla alpina","X25.155CS",75.6
"Pulsatilla vernalis","X25.155CS",60.2
"Ranunculus montanum.","X25.155CS",3.3
"Rhinanthus glacialis","X25.155CS",0
"Scorzoneroides helvetica","X25.155CS",100
"Senecio doronicum","X25.155CS",100
"Serratula tinctoria","X25.155CS",100
"Sesleria caerulea","X25.155CS",11.1
"Soldanella alpina","X25.155CS",100
"Solidago virgaurea","X25.155CS",95
"Valeriana montana","X25.155CS",97.8
"Achillea moschata","GA3",97.7
"Achillea nana","GA3",37.4
"Antennaria dioica","GA3",85
"Anthoxanthum odoratum","GA3",64.5
"Anthyllis vulneraria","GA3",6.8
"Arnica montana","GA3",100
"Aster alpinus","GA3",100
"Bartsia alpina","GA3",20.6
"Biscutella laevigata","GA3",73.9
"Campanula barbata","GA3",98.3
"Carex curvula","GA3",0
"Carex firma","GA3",79.1
"Carex sempervirens","GA3",23.3
"Dryas octopetala","GA3",100
"Festuca halleri","GA3",69.4
"Festuca nigricans","GA3",88.9
"Festuca pumila","GA3",62
"Festuca nigrescens","GA3",63
"Gentiana acaulis","GA3",10
"Gentiana clusii","GA3",48.3
"Gentiana nivalis","GA3",0
"Gentiana punctata","GA3",48
"Gentiana verna","GA3",84
"Gentianella anisodonta","GA3",10
"Geum montanum","GA3",24.2
"Helictochloa versicolor","GA3",66.4
"Horminum pyrenaicum","GA3",94.1
"Leontodon hispidus","GA3",91.2
"Leontopodium alpinum","GA3",100
"Lotus corniculatus","GA3",31.4
"Luzula spicata","GA3",0
"Minuartia verna subsp. verna","GA3",10
"Nardus stricta","GA3",30.6
