Source,Taxon,Country,Accession,Latitude,Longitude,Elevation,Stratification_temperature,Stratification_days,Stratification,Scarification,GA3,Light,Dish,Tmax,Tmin,Photoperiod,Sown,Germinated,Normal
Briceño,Montiopsis gayana,Chile,Mocho-Choshuenco10,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,b,22,10,12,30,5,30
Briceño,Montiopsis gayana,Chile,Mocho-Choshuenco10,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,c,22,10,12,30,7,30
Briceño,Montiopsis gayana,Chile,Mocho-Choshuenco10,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,d,22,10,12,30,5,30
Briceño,Montiopsis gayana,Chile,Mocho-Choshuenco11,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,a,22,10,12,30,2,30
Briceño,Montiopsis gayana,Chile,Mocho-Choshuenco11,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,b,22,10,12,30,8,30
Briceño,Montiopsis gayana,Chile,Mocho-Choshuenco11,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,c,22,10,12,30,0,30
Briceño,Montiopsis gayana,Chile,Mocho-Choshuenco11,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,d,22,10,12,30,3,30
Briceño,Nassauvia revoluta,Chile,Mocho-Choshuenco12.2,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,a,22,10,12,30,12,30
Briceño,Nassauvia revoluta,Chile,Mocho-Choshuenco12.2,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,b,22,10,12,30,1,30
Briceño,Nassauvia revoluta,Chile,Mocho-Choshuenco12.2,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,c,22,10,12,30,14,30
Briceño,Nassauvia revoluta,Chile,Mocho-Choshuenco12.2,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,d,22,10,12,30,10,30
Briceño,Nassauvia lagascae,Chile,Mocho-Choshuenco12.1,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,a,22,10,12,30,13,30
Briceño,Nassauvia lagascae,Chile,Mocho-Choshuenco12.1,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,b,22,10,12,30,12,30
Briceño,Nassauvia lagascae,Chile,Mocho-Choshuenco12.1,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,c,22,10,12,30,10,30
Briceño,Nassauvia lagascae,Chile,Mocho-Choshuenco12.1,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,d,22,10,12,30,5,30
Briceño,Montiopsis gayana,Chile,Mocho-Choshuenco13,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,a,22,10,12,30,9,30
