File,Taxon,Accession,Dish,Temperature_day,Temperature_night,Photoperiod,Normal,Sown,Germinated
Venn cool fridge,Brachyscome ridigula,McKay,2,12,10,14,20,20,7
Venn cool fridge,Brachyscome ridigula,McKay,3,12,10,14,20,20,14
Venn cool fridge,Brachyscome ridigula,McKay,4,12,10,14,19,20,10
Venn cool fridge,Brachyscome ridigula,McKay,5,12,10,14,17,20,11
Venn cool fridge,Brachyscome ridigula,McKay,6,12,10,14,20,20,12
Venn cool fridge,Brachyscome ridigula,McKay,7,12,10,14,20,20,6
Venn cool fridge,Brachyscome ridigula,McKay,8,12,10,14,20,20,14
Venn cool fridge,Brachyscome ridigula,Stirling,1,12,10,14,20,20,12
Venn cool fridge,Brachyscome ridigula,Stirling,2,12,10,14,20,20,13
Venn cool fridge,Brachyscome ridigula,Stirling,3,12,10,14,20,20,8
Venn cool fridge,Brachyscome ridigula,Stirling,4,12,10,14,20,20,11
Venn cool fridge,Brachyscome ridigula,Stirling,5,12,10,14,20,20,13
Venn cool fridge,Brachyscome ridigula,Stirling,6,12,10,14,19,20,11
Venn cool fridge,Brachyscome ridigula,Stirling,7,12,10,14,19,20,10
Venn cool fridge,Brachyscome ridigula,Stirling,8,12,10,14,20,20,13
Venn cool fridge,Xerochrysum subundulatum,Speculation,1,12,10,14,20,20,12
Venn cool fridge,Xerochrysum subundulatum,Speculation,2,12,10,14,19,20,15
Venn cool fridge,Xerochrysum subundulatum,Speculation,3,12,10,14,20,20,14
Venn cool fridge,Xerochrysum subundulatum,Speculation,4,12,10,14,20,20,16
Venn cool fridge,Xerochrysum subundulatum,Speculation,5,12,10,14,20,20,15
Venn cool fridge,Xerochrysum subundulatum,Speculation,6,12,10,14,20,20,17
Venn cool fridge,Xerochrysum subundulatum,Speculation,7,12,10,14,20,20,15
Venn cool fridge,Xerochrysum subundulatum,Speculation,8,12,10,14,19,20,16
Venn cool fridge,Xerochrysum subundulatum,Hotham,1,12,10,14,20,20,13
Venn cool fridge,Xerochrysum subundulatum,Hotham,2,12,10,14,20,20,17
Venn cool fridge,Xerochrysum subundulatum,Hotham,3,12,10,14,20,20,15
Venn cool fridge,Xerochrysum subundulatum,Hotham,4,12,10,14,20,20,17
Venn cool fridge,Xerochrysum subundulatum,Hotham,5,12,10,14,20,20,14
Venn cool fridge,Xerochrysum subundulatum,Hotham,6,12,10,14,20,20,15
Venn cool fridge,Xerochrysum subundulatum,Hotham,7,12,10,14,20,20,12
Venn cool fridge,Xerochrysum subundulatum,Hotham,8,12,10,14,20,20,15
Venn cool fridge,Brachyscome spathulata,Howitt,1,12,10,14,20,20,18
Venn cool fridge,Brachyscome spathulata,Howitt,2,12,10,14,20,20,17
Venn cool fridge,Brachyscome spathulata,Howitt,3,12,10,14,20,20,12
Venn cool fridge,Brachyscome spathulata,Howitt,4,12,10,14,20,20,18
Venn cool fridge,Brachyscome spathulata,Howitt,5,12,10,14,20,20,19
Venn cool fridge,Brachyscome spathulata,Howitt,6,12,10,14,20,20,17
Venn cool fridge,Brachyscome spathulata,Howitt,7,12,10,14,20,20,15
Venn cool fridge,Brachyscome spathulata,Howitt,8,12,10,14,20,20,14
Venn cool fridge,Brachyscome spathulata,Bogong,1,12,10,14,20,20,12
Venn cool fridge,Brachyscome spathulata,Bogong,2,12,10,14,20,20,15
Venn cool fridge,Brachyscome spathulata,Bogong,3,12,10,14,20,20,16
Venn cool fridge,Brachyscome spathulata,Bogong,4,12,10,14,20,20,17
Venn cool fridge,Brachyscome spathulata,Bogong,5,12,10,14,20,20,13
Venn cool fridge,Brachyscome spathulata,Bogong,6,12,10,14,20,20,16
Venn cool fridge,Brachyscome spathulata,Bogong,7,12,10,14,20,20,16
Venn cool fridge,Brachyscome spathulata,Bogong,8,12,10,14,20,20,13
Venn cool fridge,Brachyscome spathulata,Spion Kopje,1,12,10,14,20,20,15
Venn cool fridge,Brachyscome spathulata,Spion Kopje,2,12,10,14,20,20,16
Venn cool fridge,Brachyscome spathulata,Spion Kopje,3,12,10,14,20,20,14
Venn cool fridge,Brachyscome spathulata,Spion Kopje,4,12,10,14,20,20,15
Venn cool fridge,Brachyscome spathulata,Spion Kopje,5,12,10,14,20,20,17
Venn cool fridge,Brachyscome spathulata,Spion Kopje,6,12,10,14,20,20,16
Venn cool fridge,Brachyscome spathulata,Spion Kopje,7,12,10,14,20,20,15
Venn cool fridge,Brachyscome spathulata,Spion Kopje,8,12,10,14,20,20,16
Venn cool fridge,Luzula acutifolia,Stirling,1,12,10,14,20,20,16
Venn cool fridge,Luzula acutifolia,Stirling,2,12,10,14,20,20,20
Venn cool fridge,Luzula acutifolia,Stirling,3,12,10,14,20,20,18
Venn cool fridge,Luzula acutifolia,Stirling,4,12,10,14,20,20,20
Venn cool fridge,Luzula acutifolia,Stirling,5,12,10,14,20,20,19
