,Species,Region,Source,Population,Latitude,Longitude,Min.elevation,Max.elevation,Treeline,Alpine,Scarification,GA3,Stratification,Light,Alternating,Tmean,Temperature,Germinated,Germinable,mass
94,Alyssoides_utriculata,NA,NA,B_GR-2293181,Greece,NA,NA,NA,NA,NA,N,N,N,Y,N,22,22,0,20,6.226
95,Alyssoides_utriculata,NA,NA,B_GR-2293181,Greece,NA,NA,NA,NA,NA,N,N,N,Y,N,22,22,17,20,6.226
96,Alyssoides_utriculata,NA,NA,BBGK_06_3413,Greece,NA,NA,NA,NA,NA,N,N,N,N,N,21,21,80,100,6.226
97,Amberboa_glauca,NA,NA,K_340276,Georgia,NA,NA,NA,NA,NA,N,N,N,Y,N,15,15,14,19,2.988
98,Amberboa_glauca,NA,NA,K_340276,Georgia,NA,NA,NA,NA,NA,N,N,N,Y,Y,15,15,17,19,2.988
99,Amberboa_glauca,NA,NA,K_340276,Georgia,NA,NA,NA,NA,NA,N,N,N,Y,N,20,20,11,19,2.988
100,Androsace_barbulata,NA,NA,K_343808,Georgia,NA,NA,NA,NA,NA,N,Y,N,Y,N,20,20,9,9,0.59
101,Androsace_barbulata,NA,NA,K_343808,Georgia,NA,NA,NA,NA,NA,N,Y,Y,Y,N,20,20,9,10,0.59
102,Anemone_narcissifolia,NA,NA,K_185316,Italy,NA,NA,NA,NA,NA,N,N,N,Y,N,5,5,0,20,2.812
103,Anemone_narcissifolia,NA,NA,K_185316,Italy,NA,NA,NA,NA,NA,N,N,N,Y,N,10,10,0,20,2.812
104,Anemone_narcissifolia,NA,NA,K_185316,Italy,NA,NA,NA,NA,NA,N,N,N,Y,N,15,15,0,20,2.812
105,Anemone_narcissifolia,NA,NA,K_185316,Italy,NA,NA,NA,NA,NA,N,N,N,Y,Y,15,15,0,20,2.812
106,Anemone_narcissifolia,NA,NA,K_185316,Italy,NA,NA,NA,NA,NA,N,Y,N,Y,Y,15,15,11,20,2.812
107,Anemone_narcissifolia,NA,NA,K_185316,Italy,NA,NA,NA,NA,NA,N,N,N,Y,N,20,20,0,20,2.812
108,Anemone_narcissifolia,NA,NA,K_185316,Italy,NA,NA,NA,NA,NA,N,N,N,Y,Y,20,20,12,20,2.812
109,Anemone_narcissifolia,NA,NA,K_185316,Italy,NA,NA,NA,NA,NA,N,N,N,Y,N,20,20,16,20,2.812
