"TPLName","Alpine"
"Geranium pratense","Lowland"
"Anemone obtusiloba","Lowland"
"Ajuga lupulina","Lowland"
"Agrostis pilosula","Lowland"
"Poa alpigena","Lowland"
"Medicago archiducis-nicolai","Lowland"
"Anaphalis lactea","Lowland"
"Agrostis hugoniana","Lowland"
"Astragalus tanguticus","Lowland"
"Halenia elliptica","Lowland"
"Artemisia sieversiana","Lowland"
"Aster albescens","Lowland"
"Leymus secalinus","Lowland"
"Linum perenne","Lowland"
"Incarvillea compacta","Lowland"
"Pedicularis torta","Lowland"
"Ranunculus pulchellus","Lowland"
"Juncus leucanthus","Lowland"
"Saussurea purpurascens","Lowland"
"Acanthocalyx alba","Lowland"
"Doronicum stenoglossum","Lowland"
"Gentiana squarrosa","Lowland"
"Aster farreri","Lowland"
"Anaphalis aureopunctata","Lowland"
"Anaphalis margaritacea","Lowland"
"Delphinium kamaonense","Lowland"
"Leontopodium haplophylloides","Lowland"
"Oxytropis kansuensis","Lowland"
"Lepyrodiclis holosteoides","Lowland"
"Pedicularis chinensis","Lowland"
"Ligusticum acuminatum","Lowland"
"Seseli mucronatum","Lowland"
"Pedicularis longipes","Lowland"
"Descurainia sophia","Lowland"
"Carex lehmannii","Lowland"
"Artemisia siversiana","Lowland"
"Taraxacum maurocarpum","Lowland"
"Soroseris erysimoides","Lowland"
"Elsholtzia densa","Lowland"
"Chaetoseris roborowskii","Lowland"
"Leontopodium dedekensii","Lowland"
"Stellera chamaejasme","Lowland"
"Heracleum moellendorffii","Lowland"
"Parnassia oreophila","Lowland"
"Anaphalis hancockii","Lowland"
"Pedicularis semitorta","Lowland"
"Potentilla longifolia","Lowland"
"Euphrasia regelii","Lowland"
"Leontopodium calocephalum","Lowland"
"Trisetum sibiricum","Lowland"
"Sedum celatum","Lowland"
"Gentiana futtereri","Lowland"
"Pedicularis cranolopha","Lowland"
"Paeonia anomala","Lowland"
"Carum buriaticum","Lowland"
"Caltha scaposa","Lowland"
"Melica przewalskyi","Lowland"
"Polygonum aviculare","Lowland"
"Pedicularis tristis","Lowland"
"Pedicularis polyodonta","Lowland"
"Taraxacum calanthodium","Lowland"
"Vicia cracca","Lowland"
"Urtica triangularis","Lowland"
"Pedicularis brevilabris","Lowland"
"Achillea atrata","Strict"
"Achillea clavennae","Strict"
"Achillea erba-rotta","Strict"
"Achillea nana","Strict"
"Allium victorialis","Strict"
"Androsace obtusifolia","Strict"
"Anemone alpina","Strict"
"Anemone vernalis","Strict"
"Antennaria dioica","Generalist"
"Anthoxanthum odoratum","Generalist"
"Anthyllis vulneraria","Generalist"
"Arabis alpina","Generalist"
"Arabis caerulea","Strict"
"Arenaria biflora","Strict"
"Armeria alpina","Strict"
"Arnica montana","Generalist"
"Artemisia genipi","Strict"
"Artemisia glacialis","Strict"
"Artemisia umbelliformis","Strict"
"Aster alpinus","Generalist"
"Bartsia alpina","Generalist"
"Biscutella laevigata","Generalist"
"Campanula barbata","Strict"
"Campanula cenisia","Strict"
"Campanula cochleariifolia","Generalist"
"Campanula macrorrhiza","Generalist"
"Campanula scheuchzeri","Strict"
"Campanula thyrsoides","Generalist"
"Carex bicolor","Strict"
"Carex curvula","Strict"
"Carex firma","Strict"
"Carex foetida","Strict"
"Carex sempervirens","Generalist"
"Cerastium arvense","Generalist"
"Cerastium latifolium","Strict"
"Cerastium pedunculatum","Strict"
"Cerastium uniflorum","Strict"
"Cirsium spinosissimum","Strict"
"Comastoma tenellum","Strict"
"Dianthus glacialis","Strict"
"Draba hoppeana","Strict"
"Draba stylaris","Strict"
"Dryas octopetala","Strict"
"Eriophorum angustifolium","Generalist"
"Eriophorum scheuchzeri","Strict"
"Festuca alpina","Strict"
"Festuca halleri","Strict"
"Festuca norica","Strict"
"Festuca quadriflora","Strict"
"Festuca scabriculmis","Strict"
"Festuca violacea","Strict"
"Galium montis-arerae","Strict"
"Gentiana acaulis","Strict"
"Gentiana brachyphylla","Strict"
"Gentiana clusii","Strict"
