Source,Taxon,Country,Accession,Latitude,Longitude,Elevation,Stratification_temperature,Stratification_days,Stratification,Scarification,GA3,Light,Dish,Tmax,Tmin,Photoperiod,Sown,Germinated,Normal
Sergey Rosbakh unpubl,Campanula collina,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d3,14,6,14,30,7,30
Sergey Rosbakh unpubl,Campanula collina,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d1,18,10,14,30,24,30
Sergey Rosbakh unpubl,Campanula collina,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d2,18,10,14,30,28,30
Sergey Rosbakh unpubl,Campanula collina,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d3,18,10,14,30,26,30
Sergey Rosbakh unpubl,Campanula collina,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d1,22,14,14,30,18,30
Sergey Rosbakh unpubl,Campanula collina,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d2,22,14,14,30,23,30
Sergey Rosbakh unpubl,Campanula collina,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d3,22,14,14,30,19,30
Sergey Rosbakh unpubl,Campanula collina,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d1,26,18,14,30,19,30
Sergey Rosbakh unpubl,Campanula collina,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d2,26,18,14,30,24,30
Sergey Rosbakh unpubl,Campanula collina,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d3,26,18,14,30,15,30
Sergey Rosbakh unpubl,Nardus stricta,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d1,10,2,14,30,0,30
Sergey Rosbakh unpubl,Nardus stricta,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d2,10,2,14,30,0,30
Sergey Rosbakh unpubl,Nardus stricta,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d3,10,2,14,30,0,30
Sergey Rosbakh unpubl,Nardus stricta,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d1,14,6,14,30,21,30
Sergey Rosbakh unpubl,Nardus stricta,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d2,14,6,14,30,18,30
Sergey Rosbakh unpubl,Nardus stricta,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d3,14,6,14,30,22,30
Sergey Rosbakh unpubl,Nardus stricta,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d1,18,10,14,30,21,30
Sergey Rosbakh unpubl,Nardus stricta,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d2,18,10,14,30,24,30
Sergey Rosbakh unpubl,Nardus stricta,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d3,18,10,14,30,20,30
Sergey Rosbakh unpubl,Nardus stricta,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d1,22,14,14,30,17,30
Sergey Rosbakh unpubl,Nardus stricta,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d2,22,14,14,30,22,30
Sergey Rosbakh unpubl,Nardus stricta,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d3,22,14,14,30,18,30
